Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments
104989,RM 1080,GSC ITALY,O,80,120,Auxiliary,keo FISS water
104988,RM 2510,GSC ITALY,O,80,120,Auxiliary,"keo FONDO, RIM"
100094,ACRYSOL RM-825,LANXESS,D,23,204,Auxiliary,"keo mau art: Ellington, Benfica, Viseu"
104769,CONTEX AMARANTO,SAMIA,O,70,60,Pigmented,xai het khong mua nua
105458,OXY CAR AMARANTH HP,GSC,O,70,120,Pigmented,GSC pigment
104804,ARANCIO CONTEX ECP,SAMIA,O,70,120,#N/A,xai het khong mua nua
105535,OPERA MANDARINO,GSC,O,70,120,Pigmented,GSC pigment
105186,OXY FINE ARANCIO CO,GSC,O,70,120,Pigmented,GSC project
104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,0,1,Pigmented,
104744,ISOLAC ORANGE,SAMIA,O,70,10,Pigmented,
105589,SHADE ORANGE/EJ,GSC,O,70,10,Pigmented,
104528,BI-372,STAHL Singapore,O,25,25,Auxiliary,"EFF art: Deco/Lux, Classic TT"
104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,70,160,#N/A,
105460,OXY FINE BIANCO RD,GSC,O,70,160,Pigmented,GSC pigment
104743,ISOLAC BIANCO,SAMIA,O,70,10,Pigmented,
105513,ISOLAC BIANCO N LP,SAMIA,O,70,10,Pigmented,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE"""
105590,SHADE WHITE/EJ,GSC,O,70,10,#N/A,
104667,BINDER M-SM 118,GSC ITALY,O,80,1000,Binder,
104778,BINDEX SR 150,GSC ITALY,O,80,1000,Binder,
104756,BRITEX BLACK,SAMIA,O,70,30,Pigmented,pigment EFF water
104807,BLU CONTEX T,SAMIA,O,70,120,#N/A,
105473,OPERA BLU,GSC,O,70,120,Pigmented,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO)
105185,OXY FINE NERO BLU,GSC,O,70,120,#N/A,GSC pigment (tên moi cua opera blu)
104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,0,1,Pigmented,
105017,SAMIANIL CB BLEU RP,SAMIA,O,70,1,Pigmented,
104770,CONTEX BLUE MARINE,SAMIA,O,70,60,Pigmented,xai het khong mua nua
105459,OXY CAR OCEAN BLUE HP,GSC,O,70,120,Pigmented,GSC pigment
104534,BORDEAUX DHL,SYN-BIOS,O,0,1,Pigmented,
104757,BRITEX BROWN,SAMIA,O,70,30,Pigmented,pigment EFF water
104802,CONTEX BRUNO,SAMIA,O,70,160,Pigmented,
