,Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,Consumption on Current Month,PIGCOM,monthly Chemical Forecast,current Chemical Demand,monthly Consumption (6months),monthly Consumption (3months)
0,104989.0,RM 1080,GSC ITALY,O,80.0,120.0,Auxiliary,keo FISS water,840.0,2023-07-22::120.0|||2023-08-19::720.0,,267.0,95.63,COMPOUND,0.0,0.0,302.0,359.0
1,104988.0,RM 2510,GSC ITALY,O,80.0,120.0,Auxiliary,"keo FONDO, RIM",,,3120.0,436.0,81.75,COMPOUND,1.0,0.0,406.0,442.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,23.0,204.0,Auxiliary,"keo mau art: Ellington, Benfica, Viseu",,,204.0,160.0,22.207,COMPOUND,0.0,0.0,70.0,88.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,70.0,60.0,Pigmented,xai het khong mua nua,,,360.0,50.0,0.0,PIGMENT,0.0,0.0,22.0,14.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,840.0,72.0,15.717,PIGMENT,94.0,3.0,35.0,30.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,70.0,120.0,,xai het khong mua nua,,,120.0,,0.0,PIGMENT,0.0,0.0,5.0,0.0
6,105535.0,OPERA MANDARINO,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,1080.0,187.0,0.171,PIGMENT,59.0,1.0,27.0,27.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,70.0,120.0,Pigmented,GSC project,,,,,0.0,,,,0.0,0.0
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,0.0,1.0,Pigmented,,,,,86.0,0.024,COMPOUND,0.0,0.0,1.0,1.0
9,104744.0,ISOLAC ORANGE,SAMIA,O,70.0,10.0,Pigmented,,,,170.0,6.0,0.0,PIGMENT,1.0,0.0,1.0,1.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,70.0,10.0,Pigmented,,,,,,0.0,,,,0.0,0.0
11,104528.0,BI-372,STAHL Singapore,O,25.0,25.0,Auxiliary,"EFF art: Deco/Lux, Classic TT",,,75.0,16.0,0.0,COMPOUND,34.0,4.0,19.0,5.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,70.0,160.0,,,,,,,0.0,PIGMENT,10.0,0.0,0.0,0.0
13,105460.0,OXY FINE BIANCO RD,GSC,O,70.0,160.0,Pigmented,GSC pigment,12000.0,2023-07-01::6560.0|||2023-07-22::3200.0|||2023-08-19::2240.0,12320.0,657.0,802.658,PIGMENT,6900.0,1773.0,3242.0,3587.0
14,104743.0,ISOLAC BIANCO,SAMIA,O,70.0,10.0,Pigmented,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
15,105513.0,ISOLAC BIANCO N LP,SAMIA,O,70.0,10.0,Pigmented,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",,,190.0,26.0,3.755,PIGMENT,16.0,0.0,7.0,4.0
16,105590.0,SHADE WHITE/EJ,GSC,O,70.0,10.0,,,,,,7.0,0.0,,,,0.0,0.0
17,104667.0,BINDER M-SM 118,GSC ITALY,O,80.0,1000.0,Binder,,,,,,0.0,,,,0.0,0.0
18,104778.0,BINDEX SR 150,GSC ITALY,O,80.0,1000.0,Binder,,,,,,0.0,,,,0.0,0.0
19,104756.0,BRITEX BLACK,SAMIA,O,70.0,30.0,Pigmented,pigment EFF water,,,660.0,44.0,1.065,COMPOUND,9.0,1.0,7.0,7.0
20,104807.0,BLU CONTEX T,SAMIA,O,70.0,120.0,,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
21,105473.0,OPERA BLU,GSC,O,70.0,120.0,Pigmented,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),1080.0,2023-08-19::1080.0,,98.0,53.286,PIGMENT,364.0,49.0,170.0,205.0
22,105185.0,OXY FINE NERO BLU,GSC,O,70.0,120.0,,GSC pigment (tên moi cua opera blu),,,720.0,,0.0,,,,0.0,0.0
23,104531.0,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,0.0,1.0,Pigmented,,,,,240.0,0.0,COMPOUND,1.0,0.0,0.0,0.0
24,105017.0,SAMIANIL CB BLEU RP,SAMIA,O,70.0,1.0,Pigmented,,,,19.0,,0.0,,,,0.0,0.0
25,104770.0,CONTEX BLUE MARINE,SAMIA,O,70.0,60.0,Pigmented,xai het khong mua nua,,,240.0,81.0,0.0,PIGMENT,1.0,0.0,12.0,19.0
26,105459.0,OXY CAR OCEAN BLUE HP,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,1080.0,128.0,10.168,PIGMENT,57.0,2.0,32.0,38.0
27,104534.0,BORDEAUX DHL,SYN-BIOS,O,0.0,1.0,Pigmented,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
28,104757.0,BRITEX BROWN,SAMIA,O,70.0,30.0,Pigmented,pigment EFF water,,,1680.0,155.0,0.0,COMPOUND,1.0,0.0,0.0,0.0
29,104802.0,CONTEX BRUNO,SAMIA,O,70.0,160.0,Pigmented,,,,,,0.0,PIGMENT,2.0,0.0,0.0,0.0
30,105467.0,OPERA BRUNO DL,GSC,O,70.0,150.0,Pigmented,GSC pigment,,,2250.0,434.0,78.317,PIGMENT,693.0,236.0,274.0,297.0
31,104768.0,CONTEX BRUNO R,SAMIA,O,70.0,60.0,Pigmented,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
32,105457.0,OXY CAR MOGANO HP,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,2400.0,111.0,66.968,PIGMENT,168.0,27.0,48.0,43.0
33,104798.0,CONTEX BRUNO V,SAMIA,O,70.0,160.0,Pigmented,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
34,105461.0,OXY CAR BROWN VIOLET HP,GSC,O,70.0,160.0,Pigmented,GSC pigment,1440.0,2023-07-01::1120.0|||2023-07-22::320.0,640.0,363.0,26.907,PIGMENT,800.0,67.0,316.0,334.0
