,Material,Intransit,Intransit_Notes
0,100322.0,1650.0,2023-07-02::1650.0
1,101261.0,2070.0,2023-06-29::1150.0|||2023-07-21::920.0
2,104645.0,2400.0,2023-08-19::2400.0
3,104846.0,720.0,2023-06-29::300.0|||NaT::420.0
4,104867.0,3720.0,2023-07-10::3000.0|||2023-08-15::720.0
5,104877.0,900.0,2023-07-01::400.0|||2023-07-22::400.0|||2023-08-19::100.0
6,104910.0,12500.0,2023-07-17::1000.0|||2023-07-21::5500.0|||NaT::6000.0
7,104928.0,34000.0,2023-06-29::1000.0|||2023-06-29::10000.0|||2023-07-17::18000.0|||2023-07-21::5000.0
8,104929.0,8740.0,2023-06-29::8740.0
9,104938.0,8000.0,2023-07-10::8000.0
10,104960.0,1300.0,2023-06-29::1300.0
11,104963.0,9545.0,2023-07-21::2530.0|||NaT::7015.0
12,104989.0,840.0,2023-07-22::120.0|||2023-08-19::720.0
13,105008.0,22200.0,2023-07-22::10200.0|||2023-08-19::12000.0
14,105020.0,1320.0,2023-07-10::680.0|||2023-08-15::640.0
15,105027.0,840.0,2023-07-21::840.0
16,105086.0,9350.0,2023-07-09::1650.0|||2023-07-24::7700.0
17,105150.0,3720.0,2023-07-22::1800.0|||2023-08-19::1920.0
18,105151.0,4000.0,2023-07-01::4000.0
19,105176.0,240.0,2023-07-22::240.0
20,105179.0,220.0,2023-08-19::220.0
21,105223.0,3240.0,2023-07-01::120.0|||2023-07-22::2400.0|||2023-08-19::720.0
22,105376.0,4000.0,2023-07-16::4000.0
23,105410.0,7800.0,2023-07-30::7800.0
24,105460.0,12000.0,2023-07-01::6560.0|||2023-07-22::3200.0|||2023-08-19::2240.0
25,105461.0,1440.0,2023-07-01::1120.0|||2023-07-22::320.0
26,105465.0,8700.0,2023-07-01::5250.0|||2023-07-22::750.0|||2023-08-19::2700.0
27,105468.0,480.0,2023-08-19::480.0
28,105469.0,240.0,2023-07-22::240.0
29,105472.0,120.0,2023-08-19::120.0
30,105473.0,1080.0,2023-08-19::1080.0
31,105476.0,240.0,2023-07-22::120.0|||2023-08-19::120.0
32,105534.0,650.0,2023-07-01::300.0|||2023-07-22::350.0
33,105655.0,2000.0,2023-07-19::2000.0
