,Material,Component_Description,JAN_23,FEB_23,MAR_23,APR_23,MAY_23,JUN_23
0,100010,FORMIC ACID 85%,0.0,0.0,0.0,0.0,0.0,0.0
1,100017,ASTACIN GROUND UH TF,0.0,0.0,0.0,0.0,0.0,0.0
2,100019,SODIUM BICARBONATE,0.0,0.0,0.0,0.0,0.0,0.0
3,100029,HM183,0.0,0.0,0.0,0.0,0.0,0.0
4,100041,PRIMAL SB100,0.0,0.0,0.0,0.0,0.0,0.0
5,100045,WT-2524 //OUT OF PRODUCTION//,0.0,0.0,0.0,0.0,0.0,0.0
6,100047,ROSILK 2229,0.0,0.0,0.0,0.0,0.0,0.0
7,100062,AQUALENIW-80.A,0.0,0.0,0.0,0.0,0.0,0.0
8,100067,XR-13-436,0.0,0.0,0.0,0.0,0.0,0.0
9,100094,ACRYSOL RM-825,6.2,53.45,93.446,135.653,41.28,88.003
10,100239,DIACETON ALCOHOL,0.0,0.0,0.0,0.0,0.0,0.0
11,100322,ICALAC SB 200,675.489,965.518,943.445,1310.435,1055.315,1214.189
12,100388,MA 13135,0.0,0.0,0.0,0.0,0.0,0.0
13,100410,MELIO FETTGRIFF SZ,0.0,0.0,0.0,0.0,0.0,0.0
14,100413,MELIO FOAM AX-03,111.365,104.099,171.699,146.68,145.722,148.667
15,100417,MELIO LV03,0.0,0.0,0.0,0.0,0.0,0.0
16,100427,MELIO PROMUL 95,0.0,0.0,0.0,0.0,0.0,0.0
17,100429,MELIO PROMUL 66,0.0,0.0,0.0,0.0,0.0,0.0
18,100700,XR-13-096,0.0,0.0,0.0,0.0,0.0,0.0
19,101261,EUDERM NAPPA SOFT S 2,114.712,678.268,840.614,1062.626,243.468,661.04
20,101332,RU 22537.,0.0,0.0,0.0,0.0,0.0,0.0
21,101333,RC 13823,0.0,0.0,0.0,0.0,0.0,0.0
22,101374,GEAWAX FINISH 2000,0.0,0.0,0.0,0.0,0.0,0.0
23,101378,GEKTANE DNT,0.0,0.0,0.0,0.0,0.0,0.0
24,101380,GEKTANE F-40,0.0,0.0,0.0,0.0,0.0,0.0
25,101442,FI-22098,0.0,0.0,0.0,0.0,0.0,0.0
26,101872,AQUALEN AKU,0.0,0.0,0.0,0.0,0.0,0.0
27,101880,AMMONIAC NH3H20,0.0,0.0,0.0,0.0,0.0,0.0
28,101972,MELIO GROUND UP,0.0,0.0,0.0,0.0,0.0,0.0
29,102570,MELIO PROMUL 61,0.0,0.0,0.0,0.0,0.0,0.0
30,102970,MELIO TOP 239,0.0,0.0,0.0,0.0,0.0,0.0
31,103170,NOVA M 14,0.0,0.0,0.0,0.0,0.0,0.0
32,103250,RETICOLANTE 05,0.0,0.0,0.0,0.0,0.0,0.0
33,103640,DENSOTAN A,0.0,0.0,0.0,0.0,0.0,0.0
34,103697,TANIGAN HO,0.0,0.0,0.0,0.0,0.0,0.0
35,103870,NEOSAN 2000 WHITE ID,0.0,0.0,0.0,0.0,0.0,0.0
36,104062,DRASIL SM,0.0,0.0,0.0,0.0,0.0,0.0
37,104124,BUSAN 30L,0.0,0.0,0.0,0.0,0.0,0.0
38,104187,DOWELLER DRIVER 5511,0.0,0.0,0.0,0.0,0.0,0.0
39,104188,RU-43-901,0.0,0.0,0.0,0.0,0.0,0.0
40,104189,AQUACAST S,0.0,0.0,0.0,0.0,0.0,0.0
41,104194,AF 4000,0.0,0.0,0.0,0.0,0.0,0.0
42,104195,AMOLLAN IP,0.0,0.0,0.0,0.0,0.0,0.0
