,Material,Stock_CH10
0,100029,15.0
1,100094,160.0
2,100322,248.0
3,100413,64.0
4,100427,35.0
5,101261,65.0
6,104523,86.0
7,104528,16.0
8,104531,240.0
9,104541,138.0
10,104555,73.0
11,104564,25.0
12,104572,246.0
13,104601,2.0
14,104624,131.0
15,104625,10.0
16,104634,80.0
17,104642,71.0
18,104644,119.0
19,104645,123.0
20,104672,1543.0
21,104673,33.0
22,104676,584.0
23,104680,226.0
24,104690,81.0
25,104691,102.0
26,104703,96.0
27,104727,355.0
28,104729,28.0
29,104734,156.0
30,104744,6.0
31,104745,45.0
32,104746,4.0
33,104747,57.0
34,104748,17.0
35,104749,62.0
36,104750,39.0
37,104752,77.0
38,104753,44.0
39,104754,65.0
40,104756,44.0
41,104757,155.0
42,104769,50.0
43,104770,81.0
44,104786,46.0
45,104824,915.0
46,104846,106.0
47,104847,68.0
48,104858,240.0
49,104867,600.0
50,104873,214.0
51,104876,120.0
52,104877,173.0
53,104885,26.0
54,104891,50.0
55,104910,1012.0
56,104923,10.0
57,104928,942.0
58,104929,248.0
59,104930,46.0
60,104931,1944.0
61,104937,76.0
62,104938,1422.0
63,104944,110.0
64,104946,217.0
65,104948,90.0
66,104949,195.0
67,104959,70.0
68,104960,388.0
69,104962,108.0
70,104963,25.0
71,104964,1910.0
72,104965,250.0
73,104973,184.0
74,104978,120.0
75,104981,23.0
76,104988,436.0
77,104989,267.0
78,104997,20.0
79,105008,935.0
80,105020,340.0
81,105027,171.0
82,105042,8.0
83,105045,30.0
84,105063,15.0
85,105079,76.0
86,105084,190.0
87,105086,84.0
88,105126,50.0
89,105150,825.0
90,105151,841.0
91,105173,414.0
92,105175,210.0
93,105176,82.0
94,105177,77.0
95,105179,231.0
96,105180,389.0
97,105192,22.0
98,105193,1.0
99,105194,95.0
100,105196,50.0
101,105197,71.0
102,105198,14.0
103,105203,175.0
104,105205,20.0
105,105223,653.0
106,105255,27.0
107,105263,77.0
108,105278,17.0
109,105279,22.0
110,105283,366.0
111,105284,1.0
112,105286,1.0
113,105287,9.0
114,105302,39.0
115,105305,93.0
116,105310,381.0
117,105336,173.0
118,105349,8.0
119,105350,267.0
120,105369,214.0
121,105373,110.0
122,105376,3780.0
123,105393,130.0
124,105402,38.0
125,105404,22.0
126,105408,8.0
127,105409,126.0
128,105410,709.0
129,105443,191.0
130,105455,94.0
131,105457,111.0
132,105458,72.0
133,105459,128.0
134,105460,657.0
135,105461,363.0
136,105462,109.0
137,105463,117.0
138,105464,14.0
139,105465,668.0
140,105466,164.0
141,105467,434.0
142,105468,369.0
143,105469,97.0
144,105470,109.0
145,105471,172.0
146,105472,167.0
147,105473,98.0
148,105474,164.0
149,105475,116.0
150,105476,139.0
151,105485,10.0
152,105492,5.0
153,105498,24.0
154,105501,10.0
155,105504,10.0
156,105505,532.0
157,105513,26.0
158,105515,116.0
159,105516,76.0
160,105533,220.0
161,105534,174.0
162,105535,187.0
163,105545,186.0
164,105546,49.0
165,105547,28.0
166,105548,24.0
167,105550,33.0
168,105554,12.0
169,105559,121.0
170,105560,73.0
171,105590,7.0
172,105591,6.0
173,105592,9.0
174,105593,0.0
175,105594,5.0
176,105595,24.0
177,105596,5.0
178,105597,4.0
179,105598,6.0
180,105599,9.0
181,105600,122.0
182,105601,60.0
183,105621,252.0
184,105653,56.0
185,105655,291.0
186,105656,480.0
187,105659,24.0
188,105662,6.0
189,105663,10.0
190,105682,59.0
191,105684,5.0
192,105685,2.0
193,105700,30.0
