,FAMILY_ARTICLES_FULL,COLOR,ART_TYPE,CurrentOrders
0,AJAX TT,7183.0,TOP,32030.95
1,AJAX TT,12209.0,TOP,57.5
2,AJAX TT,13416.0,TOP,16323.1
3,ALINE K TT,1220.0,TOP,5170.0
4,ALINE K TT,2793.0,TOP,24409.0
5,ALINE K TT,5728.0,TOP,93060.0
6,ALINE K TT,7890.0,TOP,10120.0
7,ALINE K TT,9303.0,TOP,5750.0
8,ALINE K TT,13306.0,TOP,184000.0
9,ALINE K TT,17039.0,SPLIT,2300.0
10,ALINE K TT,17051.0,TOP,8510.0
11,ALINE K TT TS,13306.0,SPLIT,18400.0
12,ALINE US K TT,9178.0,TOP,15180.0
13,ALPINE K TT,12222.0,TOP,115.0
14,ALPINE K TT,12223.0,TOP,115.0
15,ALPINE K TT,13666.0,TOP,115.0
16,ANGKOR,3761.0,TOP,23000.0
17,ANGKOR,7141.0,TOP,22000.0
18,BALI [PC],6291.0,TOP,3450.0
19,BENFICA K TT,12225.0,TOP,115.0
20,BENFICA K TT,18015.0,TOP,115.0
21,BRISBANE K TT,13471.0,TOP,4830.0
22,DECO,17135.0,TOP,3450.0
23,ELLI K TT LUX,2374.0,TOP,13950.0
24,ELLI LUX,6839.0,TOP,5280.0
25,HAWAII TIP,9071.0,TOP,20700.0
26,HAWAII TSF,5231.0,SPLIT,4600.0
27,HAWAII TSF,7395.0,SPLIT,3450.0
28,HAWAII TSF,9071.0,SPLIT,11500.0
29,LAOCAI K TT,17163.0,TOP,1150.0
30,MADRAS,13636.0,TOP,11500.0
31,MADRAS SOFT,8046.0,TOP,51750.0
32,MADRAS SOFT,12067.0,TOP,9200.0
33,MADRAS SOFT,12068.0,TOP,17250.0
34,MADRAS SOFT,12220.0,TOP,5750.0
35,MADRAS SOFT,13490.0,TOP,5750.0
36,MADRAS SOFT TSF,13490.0,SPLIT,3450.0
37,MADRAS TSF,8046.0,SPLIT,23000.0
38,MADRAS TSF,12067.0,SPLIT,9200.0
39,MADRAS TSF,12068.0,SPLIT,11500.0
40,MAGASUS K TT,13242.0,TOP,2645.0
41,MALD,12063.0,TOP,3450.0
42,MALD K TT,13437.0,TOP,3450.0
43,MALD SO,1337.0,TOP,5750.0
44,MALD SO,5028.0,TOP,10350.0
45,MEKONG TT,4363.0,TOP,64400.0
46,NEW-PRESTIGE,7058.0,TOP,5750.0
47,NOKOR K TT,6845.0,TOP,5750.0
48,R AND D FURNITURE TR (,12226.0,TOP,575.0
49,R AND D FURNITURE TR (,13548.0,TOP,138.0
50,R AND D FURNITURE TR (,14005.0,TOP,115.0
51,SAHARA K TT TS,1771.0,SPLIT,2875.0
52,SAHARA K TT TS,13154.0,SPLIT,2875.0
53,WASH-OFF SC AUTO,7617.0,SPLIT,2875.0
54,WASH-OFF SC AUTO,7617.0,TOP,5750.0
55,WASH-OFF SC MA TS,2332.0,SPLIT,3450.0
56,SUNNY,8344.0,TOP,13800.0
57,TORONTO,5029.0,TOP,2300.0
58,TORONTO,12000.0,TOP,1150.0
59,TORONTO,13371.0,TOP,5750.0
60,TORONTO,13372.0,TOP,5750.0
61,TORONTO,17122.0,TOP,5750.0
62,TORONTO,17123.0,TOP,11500.0
63,TORONTO TAB,9249.0,TOP,5750.0
64,TORONTO TIP,2284.0,TOP,5750.0
65,TORONTO TIP,7154.0,TOP,3450.0
66,VALDERNO K TT,13611.0,TOP,402.5
67,VALERIS,13669.0,TOP,69.0
68,VALERIS,13670.0,TOP,69.0
69,VENEZA,4783.0,TOP,22000.0
70,VENEZA,5078.0,TOP,55000.0
71,VENEZA,17215.0,TOP,11000.0
72,VINT K TT,1367.0,TOP,11500.0
73,VINT K TT,5071.0,TOP,2990.0
74,VINT K TT,5324.0,TOP,8050.0
75,VINT K TT,13094.0,TOP,5750.0
76,VINT K TT,13667.0,TOP,115.0
77,VINT K TT,13668.0,TOP,115.0
78,VINT K TT,15005.0,TOP,115.0
79,VINT K TT,17281.0,TOP,115.0
80,VINT K TT,20016.0,TOP,115.0
81,VINT K TT,20017.0,TOP,115.0
82,WASH OFF,2332.0,TOP,5750.0
