FAMILY_ARTICLES_FULL,COLOR,ART_TYPE,SetupTimes,monthlyFORECAST
AJAX,12099,TOP,0.415,3105.0
AJAX TT,7183,TOP,1.393,19139.0
AJAX TT,7187,TOP,0.351,4819.0
AJAX TT,13416,TOP,1.077,14792.0
AJAX TT,17169,TOP,0.364,5005.0
AJAX TT,17170,TOP,0.378,5192.0
ALINE K TT,1220,TOP,0.384,4466.0
ALINE K TT,1265,TOP,0.359,4172.0
ALINE K TT,1266,TOP,0.346,4025.0
ALINE K TT,2331,TOP,1.268,14756.0
ALINE K TT,2729,TOP,0.384,4466.0
ALINE K TT,2752,TOP,0.346,4025.0
ALINE K TT,2793,TOP,0.624,7259.0
ALINE K TT,3229,TOP,0.649,7553.0
ALINE K TT,3714,TOP,0.346,4025.0
ALINE K TT,3780,TOP,0.523,6083.0
ALINE K TT,3781,TOP,0.535,6230.0
ALINE K TT,4336,TOP,0.359,4172.0
ALINE K TT,4390,TOP,0.384,4466.0
ALINE K TT,4793,TOP,0.397,4613.0
ALINE K TT,5728,TOP,1.306,15197.0
ALINE K TT,6812,TOP,0.346,4025.0
ALINE K TT,6829,TOP,0.447,5201.0
ALINE K TT,7158,SPLIT,0.346,4025.0
ALINE K TT,7844,SPLIT,0.333,3878.0
ALINE K TT,7844,TOP,0.359,4172.0
ALINE K TT,7853,TOP,0.346,4025.0
ALINE K TT,7854,TOP,0.384,4466.0
ALINE K TT,7890,TOP,0.371,4319.0
ALINE K TT,8528,TOP,0.333,3878.0
ALINE K TT,8669,TOP,0.346,4025.0
ALINE K TT,9303,TOP,0.384,4466.0
ALINE K TT,9313,TOP,0.359,4172.0
ALINE K TT,12040,TOP,0.472,5495.0
ALINE K TT,13035,TOP,0.346,4025.0
ALINE K TT,13036,TOP,0.346,4025.0
ALINE K TT,13038,TOP,0.359,4172.0
ALINE K TT,13230,TOP,0.397,4613.0
ALINE K TT,13231,TOP,0.409,4760.0
ALINE K TT,13241,SPLIT,0.346,4025.0
ALINE K TT,13241,TOP,0.573,6671.0
