FAMILY_ARTICLES,FAMILY_ARTICLES_FULL,COLOR,ART_TYPE,SF._x,SF._y,AvgOnePO,RATE
AJAX,AJAX,12099,TOP,7475.0,323396.5,7475.0,0.023
AJAX,AJAX TT,7183,TOP,176474.9,323396.5,13736.0,0.546
AJAX,AJAX TT,7187,TOP,2875.0,323396.5,13736.0,0.009
AJAX,AJAX TT,13416,TOP,123921.6,323396.5,13736.0,0.383
AJAX,AJAX TT,17169,TOP,5175.0,323396.5,13736.0,0.016
AJAX,AJAX TT,17170,TOP,7475.0,323396.5,13736.0,0.023
ALBA,ALBA,8663,TOP,3450.0,3450.0,3450.0,1.0
ALINE,ALINE K TT,1220,TOP,18280.0,4665518.35,11634.0,0.004
ALINE,ALINE K TT,1265,TOP,11500.0,4665518.35,11634.0,0.002
ALINE,ALINE K TT,1266,TOP,5750.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,2331,TOP,344735.0,4665518.35,11634.0,0.074
ALINE,ALINE K TT,2729,TOP,17250.0,4665518.35,11634.0,0.004
ALINE,ALINE K TT,2752,TOP,5750.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,2793,TOP,107922.0,4665518.35,11634.0,0.023
ALINE,ALINE K TT,3229,TOP,117280.0,4665518.35,11634.0,0.025
ALINE,ALINE K TT,3714,TOP,5750.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,3780,TOP,69000.0,4665518.35,11634.0,0.015
ALINE,ALINE K TT,3781,TOP,72450.0,4665518.35,11634.0,0.016
ALINE,ALINE K TT,4336,TOP,11500.0,4665518.35,11634.0,0.002
ALINE,ALINE K TT,4390,TOP,18400.0,4665518.35,11634.0,0.004
ALINE,ALINE K TT,4793,TOP,21735.0,4665518.35,11634.0,0.005
ALINE,ALINE K TT,5728,TOP,357040.0,4665518.35,11634.0,0.077
ALINE,ALINE K TT,6812,TOP,3450.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,6829,TOP,40332.8,4665518.35,11634.0,0.009
ALINE,ALINE K TT,7158,SPLIT,3450.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,7844,SPLIT,2300.0,4665518.35,11634.0,0.0
ALINE,ALINE K TT,7844,TOP,9900.0,4665518.35,11634.0,0.002
ALINE,ALINE K TT,7853,TOP,3450.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,7854,TOP,17250.0,4665518.35,11634.0,0.004
ALINE,ALINE K TT,7890,TOP,14720.0,4665518.35,11634.0,0.003
ALINE,ALINE K TT,8528,TOP,2300.0,4665518.35,11634.0,0.0
ALINE,ALINE K TT,8669,TOP,5750.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,9303,TOP,17250.0,4665518.35,11634.0,0.004
ALINE,ALINE K TT,9313,TOP,8050.0,4665518.35,11634.0,0.002
ALINE,ALINE K TT,12040,TOP,49450.0,4665518.35,11634.0,0.011
ALINE,ALINE K TT,13035,TOP,5750.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13036,TOP,5750.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13038,TOP,11500.0,4665518.35,11634.0,0.002
ALINE,ALINE K TT,13230,TOP,24150.0,4665518.35,11634.0,0.005
ALINE,ALINE K TT,13231,TOP,28750.0,4665518.35,11634.0,0.006
ALINE,ALINE K TT,13241,SPLIT,5750.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13241,TOP,89792.0,4665518.35,11634.0,0.019
ALINE,ALINE K TT,13266,TOP,46345.0,4665518.35,11634.0,0.01
ALINE,ALINE K TT,13267,TOP,40020.0,4665518.35,11634.0,0.009
ALINE,ALINE K TT,13296,TOP,23000.0,4665518.35,11634.0,0.005
ALINE,ALINE K TT,13305,TOP,254334.0,4665518.35,11634.0,0.055
ALINE,ALINE K TT,13306,TOP,1655298.5,4665518.35,11634.0,0.355
ALINE,ALINE K TT,13321,TOP,5750.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13322,TOP,5750.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13381,TOP,35650.0,4665518.35,11634.0,0.008
ALINE,ALINE K TT,13421,TOP,4064.1000000000004,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13432,TOP,3450.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13533,TOP,6900.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13537,TOP,5290.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13557,TOP,4025.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13568,TOP,4025.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,13603,TOP,4600.0,4665518.35,11634.0,0.001
ALINE,ALINE K TT,17036,TOP,23575.0,4665518.35,11634.0,0.005
ALINE,ALINE K TT,17039,SPLIT,17940.0,4665518.35,11634.0,0.004
ALINE,ALINE K TT,17039,TOP,52440.0,4665518.35,11634.0,0.011
ALINE,ALINE K TT,17051,TOP,107870.0,4665518.35,11634.0,0.023
ALINE,ALINE K TT,17066,TOP,107985.0,4665518.35,11634.0,0.023
ALINE,ALINE K TT,17075,TOP,23000.0,4665518.35,11634.0,0.005
