,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70,120, 840 ,NaT::840.0, 960 , 194 , -   , 202 , 214 ,10.8,5.3,18.6, -   , -   ,,, 107 , -   ,"1,154 ","1,047 ",
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70,120, -   ,-," 5,280 ", 526 , 3 , 318 , 305 ,37.7,5.3,37.7, -   , -   ,,, 154 , -   ,"5,806 ","5,652 ",
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 177 , -   , 75 , 35 ,9.8,3.8,9.8, -   , -   ,,, 18 , -   ,177 ,159 ,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 480 , 35 , -   , 23 , 38 ,27.1,5.3,27.1, -   , -   ,,, 19 , -   ,515 ,496 ,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 173 , 67 , 24 , 34 ,22.7,5.3,22.7, -   , -   ,,, 50 , 10 ,"1,123 ","1,083 ",
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , 28 , 10 , 26 , 31 ,7.4,5.3,7.4, -   , -   ,,, 20 , 2 ,146 ,128 ,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 80 , 56 , 22 , 22 ,35.9,5.3,35.9, -   , -   ,,, 39 , 1 ,"1,399 ","1,361 ",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 96 , -   , -   ,,,3,0, -   , -   ,,,, -   ,96 ,,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 12 , 1 , 1 , 1 ,182,5.3,182, -   , -   ,,, 1 , -   ,182 ,181 ,
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
11,104528,BI-372,STAHL singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, -   ,-, -   , 11 , 8 , 20 , 22 ,0.7,3.8,0.7, 46 , 1.9 ,,, 15 , -   ,11 ,(4),
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 499 , -   ,,,5.3,0, -   , -   ,,,, 32 ,(32),,
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 12,640 ",2023-02-05::2400.0|||2023-02-26::1280.0|||NaT::800.0|||NaT::6560.0|||NaT::1600.0," 3,360 "," 1,050 "," 4,693 "," 2,620 "," 2,659 ",1.2,5.3,4.6," 2,573 ", 16.1 ,,," 3,676 "," 1,851 ","2,559 ",734 ,
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 220 , 53 , 23 , 12 , 13 ,15.2,5.3,15.2, -   , -   ,,, 18 , 18 ,255 ,255 ,
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,7 ,,
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 720 , 20 , 14 , 8 , 5 ,74,5.3,74, -   , -   ,,, 10 , 11 ,729 ,730 ,
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 5 , -   ,,,5.3,0, -   , -   ,,,, 1 ,(1),,
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 960 , 143 , 275 , 117 , 144 ,5.3,5.3,5.3, -   , -   ,,, 210 , 42 ,"1,061 ",893 ,
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, 720 ,NaT::720.0, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
