,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80.0,120.0,840.0,2023-04-17::840.0,240.0,293.0,0.0,242.0,245.0,84.07,533.0,4.7,1373.0,0.0,0.0,,,0.0,0.0,533.0,533.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80.0,120.0,0.0,-,4200.0,583.0,3.0,355.0,370.0,204.125,1594.3,4.7,1594.3,0.0,0.0,,,3.0,0.0,4783.0,4780.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,385.0,0.0,59.0,51.0,82.3,385.0,2.8,385.0,0.0,0.0,,,0.0,0.0,385.0,385.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,420.0,34.0,0.0,30.0,30.0,0.0,454.0,4.8,454.0,0.0,0.0,,,0.0,0.0,454.0,454.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,840.0,177.0,89.0,37.0,41.0,3.634,11.4,4.8,11.4,0.0,0.0,,,89.0,46.0,971.0,928.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,0.0,0.0,21.0,11.0,0.0,120.0,4.8,120.0,0.0,0.0,,,0.0,0.0,120.0,120.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1200.0,126.0,59.0,25.0,27.0,18.137,22.5,4.8,22.5,0.0,0.0,,,59.0,2.0,1324.0,1267.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,4.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,95.0,0.0,0.0,1.0,0.0,95.0,2.0,95.0,0.0,0.0,,,0.0,0.0,95.0,95.0
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,17.0,1.0,1.0,1.0,0.006,187.0,4.8,187.0,0.0,0.0,,,1.0,1.0,186.0,186.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,4.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,0.0,-,25.0,5.0,32.0,27.0,33.0,0.0,0.9,2.8,0.9,60.8,2.4,,,32.0,9.0,21.0,-2.0
