,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on last month , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-04-17::840.0, 360 , 251 , -   , 242 , 245 , 327 , -   , 2.49 ,4.7, 5.92 , -   , -   , -   , 5.92 , -   , -   ,611 ,611 ,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,440 ", 516 , 3 , 355 , 370 , 523 , 17 , 13.39 ,4.7, 13.39 , -   , -   , -   , 13.39 , 3 , -   ,"4,956 ","4,953 ",
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 59 , -   , 59 , 51 , 93 , -   , 1.16 ,2.8, 1.16 , 84 , 1.0 , 204.0 , 5.16 , -   , -   ,59 ,59 ,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 34 , -   , 30 , 30 , 21 , -   , 15.13 ,4.8, 15.13 , -   , -   , -   , 15.13 , -   , -   ,454 ,454 ,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 42 , 78 , 37 , 41 , 62 , 0 , 12.85 ,4.8, 12.85 , -   , -   , -   , 12.85 , 78 , 36 ,966 ,924 ,
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , -   , -   , 21 , 11 , 24 , -   , 10.91 ,4.8, 10.91 , -   , -   , -   , 10.91 , -   , -   ,120 ,120 ,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 129 , 48 , 25 , 27 , 50 , 15 , 27.69 ,4.8, 27.69 , -   , -   , -   , 27.69 , 48 , 8 ,"1,321 ","1,281 ",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 95 , -   , -   , 1 , 2 , -   , 95.00 ,2, 95.00 , -   , -   , -   , 95.00 , -   , -   ,95 ,95 ,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 17 , 1 , 1 , 1 , 2 , -   , 187.00 ,4.8, 187.00 , -   , -   , -   , 187.00 , 1 , -   ,187 ,186 ,
