,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70,120, 840 ,2023-04-02::840.0, 720 , 262 , -   , 207 , 233 , 4 ,8.5,4.3,15.7, -   , -   ,,, 116 , -   ,982,866,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70,120, -   ,-," 5,040 ", 438 , 3 , 334 , 319 , 35 ,34,4.3,34, -   , -   ,,, 161 , -   ,"5,478","5,317",
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 152 , -   , 58 , 46 , 1 ,6.6,2.8,6.6, -   , -   ,,, 23 , -   ,152,129,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 50 , -   , 28 , 42 , -   ,22.4,4.8,22.4, -   , -   ,,, 21 , -   ,470,449,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 138 , 69 , 28 , 37 , 4 ,20.7,4.8,20.7, -   , -   ,,, 53 , 18 ,"1,080","1,045",
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , 20 , 7 , 22 , 13 , -   ,14,4.8,14, -   , -   ,,, 10 , -   ,140,130,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 74 , 55 , 21 , 18 , 3 ,38.7,4.8,38.7, -   , -   ,,, 36 , 46 ,"1,348","1,358",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 96 , -   , -   ,, -   ,,2,0, -   , -   ,,,, -   ,96,,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 12 , 1 , 1 , 1 , 0 ,182,4.8,182, -   , -   ,,, 1 , 1 ,181,181,
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
11,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, -   ,-, 25 , 7 , 8 , 20 , 23 , 11 ,2,2.8,2, 13 , 0.5 ,,, 16 , -   ,32,16,
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 308 , -   ,, -   ,,4.8,0, -   , -   ,,,, 42 ,-42,,
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 11,840 ",2023-03-05::1280.0|||2023-04-02::800.0|||2023-04-12::6560.0|||2023-04-01::1600.0|||NaT::1600.0," 2,560 "," 1,772 "," 4,799 "," 2,726 "," 2,672 ", 201 ,1.2,4.8,4.3," 1,868 ", 11.7 ,,," 3,736 "," 2,526 ","1,806",596,
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,,4.8,0, -   , -   ,,,, -   ,0,,
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 220 , 36 , 22 , 13 , 15 , 0 ,14.2,4.8,14.2, -   , -   ,,, 18 , 3 ,253,238,
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,7,,
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 720 , 16 , 12 , 8 , 5 , 0 ,92,4.3,92, -   , -   ,,, 8 , 22 ,714,728,
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 4 , -   ,, -   ,,4.8,0, -   , -   ,,,, 6 ,-6,,
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 960 , 73 , 275 , 121 , 114 , 3 ,5.3,4.8,5.3, -   , -   ,,, 194 , 77 ,956,839,
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, 720 ,2023-04-01::720.0, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 240 , -   , -   , 1 , -   ,240,0,240, -   , -   ,,, -   , -   ,240,240,
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , 12 , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,31,,
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 26 , 9 , 11 , 11 , -   ,38.6,4.8,38.6, -   , -   ,,, 10 , -   ,386,376,
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 156 , 18 , 27 , 23 , 2 ,67.8,4.8,67.8, -   , -   ,,, 20 , 13 ,"1,343","1,336",
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,,2,0, -   , -   ,,,, -   ,0,,
