,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
13,"Air freight(1280kgs)-ETA: 08.04.2023
Shipment need to be on time",105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 15,840 ",2023-04-17::800.0|||2023-04-15::6560.0|||2023-04-17::1600.0|||2023-04-24::1600.0|||2023-05-14::4000.0|||20232-04-08::640.0|||2023-04-08::640.0, -   , 386 ," 6,415 "," 2,997 "," 2,897 ", 974 , 0.06 ,4.8, 2.53 ," 14,113 ", 88.2 ,,," 6,415 "," 2,250 ","(1,544)","(5,709)",
55,"Still use 9631  as an alternative, Out of stock now.
 Shipments need to be on time  ",104939,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , -   ," 3,049 "," 1,430 ", 286 , -   , -   ,4.3, -   ," 13,111 ", 109.3 ,,," 3,049 "," 1,389 ","(1,389)","(3,049)",
56,,105150,AQ SYSTEM 555 LUX,GSC,O,COMPOUND,ten moi cua AQUAFIX LUCID 555,70,120," 9,840 ",2023-04-15::3000.0|||2023-04-22::3840.0|||2023-05-14::3000.0, -   , -   , -   ," 1,477 "," 2,953 ", -   , -   ,4.3, 3.33 , -   , -   ,,, -   , -   ,0 ,0 ,
57,,105173,SMITFIX G 9631,SMIT FINISHING S.P.A,O,COMPOUND,"Tên article có TIP : ROSSINI TT TIP,BRAZOS,SAPPA,PASKOA, BY CAST TIP,TORONTO TIP, ROCKPOINT TIP,EMO TIP,TSING,XANTUM",70,120, -   ,-," 13,680 ", 722 , 145 , 195 , 227 , 585 , 99.32 ,4.3, 99.32 , -   , -   ,,, 145 , 39 ,"14,363 ","14,257 ",
82,"Out of stock. Changed the formulation (LH 500 - LH 550 - SOFT S2)
 Air freight (7000kgs): ETA - 08.04.2023",104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,80,1000," 119,000 ",2023-04-17::2000.0|||2023-04-15::8000.0|||2023-04-17::10000.0|||2023-04-17::18000.0|||2023-04-22::5000.0|||2023-04-24::24000.0|||2023-04-24::9000.0|||NaT::24000.0|||2023-05-14::6000.0|||NaT::6000.0|||2023-04-08::4000.0|||2023-04-09::3000.0, -   , -   ," 41,876 "," 18,152 "," 19,534 "," 3,853 ", -   ,4.7, 2.84 ," 79,564 ", 79.6 ,,," 41,876 "," 16,497 ","(16,497)","(41,876)",
101,Shipments need to be on time. Will not be enough for production  until the nearest shipment,104792,RODA LAC S 214,TFL,O,COMPOUND,-,85,110, -   ,-, -   , -   ," 4,177 ", -   ,, -   , -   ,4.8, -   ," 20,050 ", 182.3 ,,," 4,177 "," 2,332 ","(2,332)","(4,177)",
102,,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",85,110," 7,150 ",2023-05-23::3190.0|||NaT::3960.0," 2,530 ", 130 , 4 ," 2,692 "," 3,002 "," 1,431 ", 0.64 ,4.8, 2.35 , -   , -   ,,, 4 , -   ,"2,660 ","2,656 ",
130,"Waiting for Air shipment: 11.04.2023
Out of stock now
ETA:",105410,EX-WT-35-711,STAHL Singapore,O,COMPOUND,xai FISS water ,25,120," 18,360 ",NaT::1680.0|||NaT::3600.0|||NaT::3240.0|||2023-04-11::4920.0|||2023-05-14::4920.0, -   , -   ," 7,799 "," 4,832 "," 5,693 ", 901 , -   ,2.8, 2.35 ," 3,120 ", 26.0 ,,," 7,799 "," 3,335 ","(3,335)","(7,799)",
140,"Air freight(1200kgs)-ETA: 08.04.2023
Shipments should be on time",105465,OPERA OCRA DL,GSC,O,PIGMENT,GSC project,70,150," 13,350 ",2023-04-17::3900.0|||2023-04-24::3750.0|||NaT::4500.0|||2023-04-08::600.0|||2023-04-08::600.0, -   , 297 ," 3,829 "," 1,590 "," 1,743 ", 776 , 0.08 ,4.8, 3.56 ," 4,595 ", 30.6 ,,," 3,829 "," 2,149 ","(1,852)","(3,532)",
217,"May have a potential miss next month, need to follow up",104846,RODA FEEL N 4,TFL,O,COMPOUND,"Fiss Baltimora, Tatto Milling ",85,60," 1,980 ",2023-05-12::1080.0|||2023-05-12::300.0|||2023-05-23::600.0, 600 , 196 ," 1,190 ", 696 , 774 , 335 , 0.67 ,4.8, 2.33 ," 2,975 ", 49.6 ,,," 1,190 ", 464 ,332 ,(394),
78,Shipments need to be on time,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,80,1000," 87,000 ",2023-04-14::18000.0|||2022-05-13::18000.0|||2022-05-10::8000.0|||NaT::18000.0|||NaT::18000.0|||2023-04-01::3000.0|||2023-04-01::4000.0," 5,000 "," 1,125 "," 19,443 "," 7,165 "," 7,955 "," 3,526 ", 0.32 ,4.7, 4.79 , -   , -   ,,," 19,443 "," 6,687 ",(562),"(13,318)",
85,Shipments should be on time,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",85,120," 28,000 ",2023-05-12::11000.0|||2023-05-16::7000.0|||2023-05-23::10000.0," 3,000 "," 1,206 "," 5,867 "," 1,613 ", 503 ," 1,839 ", 0.72 ,4.8, 5.49 , -   , -   ,,," 5,867 "," 6,756 ","(2,550)","(1,661)",
94,Shipments should be on time,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120," 1,440 ",2023-04-17::360.0|||2023-05-14::1080.0, 120 , 139 , 477 , 233 , 280 , 126 , 0.54 ,4.8, 3.56 , 572 , 4.8 ,,, 477 , 32 ,227 ,(218),
105,Waiting for shipment,104937,MELIO AQUABASE W-MN,STAHL Singapore,O,-,STUCCO BY HAND,25,70, 560 ,NaT::560.0, -   , -   , -   , 393 , 439 , 261 , -   ,2.8, 1.28 , -   , -   ,,, -   , -   ,0 ,0 ,
109,"Use the Pur 65 in Stock first, then come back with TF.
Waiting for the shipping schedule",104961,RODA PUR 65,TFL,O,-,xai het chuyen qua ASTACIN FINISH PUMN TF,85,1000, -   ,-," 3,000 ", 344 , -   , 320 , 640 , 756 , 5.23 ,4.8, 5.23 , -   , -   ,,, -   , -   ,"3,344 ","3,344 ",
110,,105505,ASTACIN FINISH PUMN TF,STAHL Singapore,O,COMPOUND,xai het PUR 65 chuyen qua xai TF Singapore,28,120," 4,200 ",NaT::4200.0," 5,640 ", 560 ," 5,517 "," 2,174 "," 2,139 ", 17 , 1.12 ,2.9, 1.89 ," 5,517 ", 46.0 ,,," 5,517 "," 2,655 ","3,545 ",683 ,
157,Waiting for shipment,104672,MP1,RIVERBANK,D,COMPOUND,pha màu và v? sinh,14,190, -   ,-, -   , 697 ," 2,673 "," 3,670 "," 4,498 "," 1,268 ", 0.26 ,2.5, 0.26 ," 5,881 ", 31.0 ,,," 2,673 ", 629 ,68 ,"(1,976)",
0,,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-04-17::840.0, 240 , 304 , -   , 242 , 245 , 73 , 2.22 ,4.7, 5.65 , -   , -   ,,, -   , -   ,544 ,544 ,
1,,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,200 ", 606 , 3 , 355 , 370 , 172 , 12.99 ,4.7, 12.99 , -   , -   ,,, 3 , -   ,"4,806 ","4,803 ",
2,,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 393 , -   , 59 , 51 , 61 , 7.71 ,2.8, 7.71 , -   , -   ,,, -   , -   ,393 ,393 ,
3,,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 34 , -   , 30 , 30 , -   , 15.13 ,4.8, 15.13 , -   , -   ,,, -   , -   ,454 ,454 ,
4,,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 840 , 177 , 78 , 37 , 41 , 4 , 13.04 ,4.8, 13.04 , -   , -   ,,, 78 , 36 ,981 ,939 ,
5,,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , -   , -   , 21 , 11 , -   , 10.91 ,4.8, 10.91 , -   , -   ,,, -   , -   ,120 ,120 ,
6,,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 128 , 48 , 25 , 27 , 17 , 27.67 ,4.8, 27.67 , -   , -   ,,, 48 , 2 ,"1,326 ","1,280 ",
7,,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
8,,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 95 , -   , -   , 1 , -   , 95.00 ,2, 95.00 , -   , -   ,,, -   , -   ,95 ,95 ,
9,,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 17 , 1 , 1 , 1 , 0 , 187.00 ,4.8, 187.00 , -   , -   ,,, 1 , 1 ,186 ,186 ,
10,,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
