,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,  Intransit  ,Intransit_Notes,  Stock_CH01  ,  Stock_CH10  ,,, monthly Chemical Forecast ,  monthly Consumption (6months)  ,  monthly Consumption (3months)  ,  Consumption on Current Month  ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,  Buy To StockSet  ,  ByTank  ,  revised To Buy  ,  stock included Buy  ,  Aveage ForeCast Consumption  ,  current Chemical Demand  ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70,120, 840 ,2023-04-02::840.0, 720 , 225 ,, 233 ,0, 207 , 233 , 41 ,945,0,1785,  -    ,  -    ,,,  -    ,  -    ,945,945,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70,120,  -    ,-," 5,040 ", 380 ,, 3 ,3, 334 , 319 , 93 ,1806.7,4.3,1806.7,  -    ,  -    ,,, 3 ,  -    ,"5,420","5,417",
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204,  -    ,-,  -    , 149 ,,  -    , -   , 58 , 46 , 3 ,149,0,149,  -    ,  -    ,,,  -    ,  -    ,149,149,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60,  -    ,-, 420 , 50 ,,  -    , -   , 28 , 42 ,  -    ,470,0,470,  -    ,  -    ,,,  -    ,  -    ,470,470,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-, 960 , 126 ,, 93 ,93, 28 , 37 , 16 ,11.7,4.8,11.7,  -    ,  -    ,,, 93 , 35 ,"1,051",993,
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120,  -    ,-, 120 , 20 ,,  -    , -   , 22 , 13 ,  -    ,140,0,140,  -    ,  -    ,,,  -    ,  -    ,140,140,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 1,320 ", 74 ,, 63 ,63, 21 , 18 , 3 ,22.1,4.8,22.1,  -    ,  -    ,,, 63 , 49 ,"1,345","1,331",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1,  -    ,-,  -    , 96 ,,  -    , -   ,  -    ,,  -    ,96,0,96,  -    ,  -    ,,,  -    ,  -    ,96,96,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10,  -    ,-, 170 , 12 ,, 1 ,1, 1 , 1 , -   ,182,4.8,182,  -    ,  -    ,,, 1 , 2 ,180,181,
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
