,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-07-22::120.0|||2023-08-19::720.0, -   , 267 , -   , 302 , 359 , 96 , 267.00 ,4.7," 1,107.00 ", -   ,0,,, -   , -   ,267 ,267 
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 3,120 ", 436 , 1 , 406 , 442 , 82 ,3556,4.7," 3,556.00 ", -   , -   ,,, 1 , -   ,"3,556 ","3,555 "
2,100094,ACRYSOL RM-825,LANXESS,D,COMPOUND,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, 204 , 160 , -   , 70 , 88 , 22 ,364,2.8, 364.00 , -   , -   ,,, -   , -   ,364 ,364 
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 50 , -   , 22 , 14 , -   ,410,4.8, 410.00 , -   , -   ,,, -   , -   ,410 ,410 
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 840 , 72 , 94 , 35 , 30 , 16 ,9.7,4.8, 9.70 , -   , -   ,,, 94 , 3 ,909 ,818 
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , -   , -   , 5 , -   , -   ,120,4.8, 120.00 , -   , -   ,,, -   , -   ,120 ,120 
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,080 ", 187 , 59 , 27 , 27 , 0 ,21.5,4.8, 21.50 , -   , -   ,,, 59 , 1 ,"1,266 ","1,208 "
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   , -   , -   ,0,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 86 , -   , 1 , 1 , 0 ,86,2, 86.00 , -   , -   ,,, -   , -   ,86 ,86 
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 6 , 1 , 1 , 1 , -   ,176,4.8, 176.00 , -   , -   ,,, 1 , -   ,176 ,175 
