,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70.0,120.0,840.0,NaT::840.0,960.0,194.0,0.0,202.0,214.0,10.8,5.3,18.6,0.0,0.0,,,107.0,0.0,1154.0,1047.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70.0,120.0,0.0,-,5280.0,526.0,3.0,318.0,305.0,37.7,5.3,37.7,0.0,0.0,,,154.0,0.0,5806.0,5652.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,177.0,0.0,75.0,35.0,9.8,3.8,9.8,0.0,0.0,,,18.0,0.0,177.0,159.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,480.0,35.0,0.0,23.0,38.0,27.1,5.3,27.1,0.0,0.0,,,19.0,0.0,515.0,496.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,960.0,173.0,67.0,24.0,34.0,22.7,5.3,22.7,0.0,0.0,,,50.0,9.0,1124.0,1083.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,28.0,10.0,26.0,31.0,7.4,5.3,7.4,0.0,0.0,,,20.0,2.0,146.0,128.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1320.0,80.0,56.0,22.0,22.0,35.9,5.3,35.9,0.0,0.0,,,39.0,1.0,1399.0,1361.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,,3.0,0.0,0.0,0.0,,,,0.0,96.0,
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,12.0,1.0,1.0,1.0,182.0,5.3,182.0,0.0,0.0,,,1.0,0.0,182.0,181.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
11,104528.0,BI-372,STAHL singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,0.0,-,0.0,11.0,8.0,20.0,22.0,0.7,3.8,0.7,46.49999999999999,1.9,,,15.0,0.0,11.0,-4.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,499.0,0.0,,,5.3,0.0,0.0,0.0,,,,32.0,-32.0,
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,12640.0,2023-02-05::2400.0|||2023-02-26::1280.0|||NaT::800.0|||NaT::6560.0|||NaT::1600.0,3360.0,1050.0,4693.0,2620.0,2659.0,1.2,5.3,4.6,2573.2000000000007,16.1,,,3676.0,1686.0,2724.0,734.0
14,104743.0,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
15,105513.0,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70.0,10.0,0.0,-,220.0,53.0,23.0,12.0,13.0,15.2,5.3,15.2,0.0,0.0,,,18.0,17.0,256.0,255.0
16,105590.0,SHADE WHITE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,7.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,7.0,
17,104667.0,BINDER M-SM 118,GSC ITALY,O,-,-,70.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
18,104778.0,BINDEX SR 150,GSC ITALY,O,-,-,70.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
19,104756.0,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70.0,30.0,0.0,-,720.0,20.0,14.0,8.0,5.0,74.0,5.3,74.0,0.0,0.0,,,10.0,11.0,729.0,730.0
20,104807.0,BLU CONTEX T,SAMIA,O,PIGMENT,-,70.0,120.0,0.0,-,0.0,0.0,5.0,0.0,,,5.3,0.0,0.0,0.0,,,,1.0,-1.0,
21,105473.0,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70.0,120.0,0.0,-,960.0,143.0,275.0,117.0,144.0,5.3,5.3,5.3,0.0,0.0,,,210.0,42.0,1061.0,893.0
22,105185.0,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70.0,120.0,720.0,NaT::720.0,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
23,104531.0,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,241.0,0.0,0.0,0.0,241.0,0.0,241.0,0.0,0.0,,,0.0,0.0,241.0,241.0
24,105017.0,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70.0,1.0,0.0,-,19.0,12.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,31.0,
25,104770.0,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,360.0,35.0,12.0,16.0,18.0,26.3,5.3,26.3,0.0,0.0,,,15.0,0.0,395.0,380.0
26,105459.0,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1200.0,163.0,14.0,25.0,19.0,85.2,5.3,85.2,0.0,0.0,,,16.0,0.0,1363.0,1347.0
27,104534.0,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,,,,0.0,0.0,
28,104757.0,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70.0,30.0,0.0,-,1680.0,111.0,5.0,1.0,1.0,597.0,5.3,597.0,0.0,0.0,,,3.0,0.0,1791.0,1788.0
29,104802.0,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,37.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
30,105467.0,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70.0,150.0,0.0,-,3900.0,246.0,434.0,212.0,190.0,13.3,5.3,13.3,0.0,0.0,,,312.0,126.0,4020.0,3834.0
31,104768.0,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70.0,60.0,0.0,-,0.0,0.0,2.0,0.0,,,5.3,0.0,0.0,0.0,,,,7.0,-7.0,
32,105457.0,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,2640.0,161.0,61.0,53.0,58.0,46.7,5.3,46.7,0.0,0.0,,,60.0,9.0,2792.0,2741.0
33,104798.0,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,4.0,0.0,,,5.3,0.0,0.0,0.0,,,,5.0,-5.0,
34,105461.0,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70.0,160.0,480.0,NaT::480.0,1600.0,657.0,603.0,295.0,257.0,5.2,5.3,6.4,0.0,0.0,,,430.0,172.0,2085.0,1827.0
35,105043.0,SAMIANIL CB BRUNO RP,SAMIA,O,COMPOUND,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70.0,25.0,0.0,-,10.0,11.0,3.0,1.0,2.0,10.5,5.3,10.5,0.0,0.0,,,2.0,1.0,20.0,19.0
36,105546.0,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",83.0,25.0,0.0,-,75.0,17.0,0.0,2.0,1.0,92.0,0.0,92.0,0.0,0.0,,,0.0,0.0,92.0,92.0
37,104748.0,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70.0,10.0,80.0,NaT::80.0,110.0,26.0,6.0,8.0,7.0,22.7,5.3,36.0,0.0,0.0,,,6.0,4.0,132.0,130.0
38,105591.0,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70.0,10.0,0.0,-,0.0,6.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,6.0,
