,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70,120, 840 ,2023-03-21::840.0, 840 , 265 , -   , 202 , 214 ,10.3,4.3,18.2, -   , -   ,,, 107 , -   ,"1,105",998,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70,120, -   ,-," 5,160 ", 529 , 3 , 318 , 305 ,36.9,4.3,36.9, -   , -   ,,, 154 , -   ,"5,689","5,535",
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 157 , -   , 75 , 35 ,8.7,2.8,8.7, -   , -   ,,, 18 , -   ,157,139,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 480 , 27 , -   , 23 , 38 ,26.7,4.8,26.7, -   , -   ,,, 19 , -   ,507,488,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 160 , 67 , 24 , 34 ,22.4,4.8,22.4, -   , -   ,,, 50 , 58 ,"1,062","1,070",
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , 20 , 10 , 26 , 31 ,7,4.8,7, -   , -   ,,, 20 , 2 ,138,120,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 78 , 56 , 22 , 22 ,35.8,4.8,35.8, -   , -   ,,, 39 , 23 ,"1,375","1,359",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 96 , -   , -   ,,,2,0, -   , -   ,,,, 1 ,95,,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 12 , 1 , 1 , 1 ,182,4.8,182, -   , -   ,,, 1 , -   ,182,181,
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
11,104528,BI-372,STAHL singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, -   ,-, -   , 11 , 8 , 20 , 22 ,0.7,2.8,0.7, 31 , 1.3 ,,, 15 , 4 ,7,-4,
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 499 , -   ,,,4.8,0, -   , -   ,,,, 60 ,-60,,
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 12,640 ",2023-02-15::2400.0|||2023-03-05::1280.0|||2023-03-21::800.0|||2023-03-31::6560.0|||2023-03-21::1600.0," 2,400 "," 1,028 "," 4,693 "," 2,620 "," 2,659 ",0.9,4.8,4.4," 1,470 ", 9.2 ,,," 3,676 "," 1,914 ","1,514",-248,
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,,,4.8,0, -   , -   ,,,, -   ,0,,
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 220 , 44 , 23 , 12 , 13 ,14.7,4.8,14.7, -   , -   ,,, 18 , 10 ,254,246,
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,7,,
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 720 , 19 , 14 , 8 , 5 ,73.9,4.3,73.9, -   , -   ,,, 10 , 14 ,725,729,
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 5 , -   ,,,4.8,0, -   , -   ,,,, 1 ,-1,,
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 960 , 113 , 275 , 117 , 144 ,5.1,4.8,5.1, -   , -   ,,, 210 , 66 ,"1,007",863,
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, 720 ,2023-03-21::720.0, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 241 , -   , -   , -   ,241,0,241, -   , -   ,,, -   , -   ,241,241,
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , 12 , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,31,,
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 26 , 12 , 16 , 18 ,25.7,4.8,25.7, -   , -   ,,, 15 , -   ,386,371,
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 159 , 14 , 25 , 19 ,84.9,4.8,84.9, -   , -   ,,, 16 , -   ,"1,359","1,343",
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,,,2,0, -   , -   ,,,, -   ,0,,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 111 , 5 , 1 , 1 ,597,4.3,597, -   , -   ,,, 3 , -   ,"1,791","1,788",
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 37 , -   ,,,4.8,0, -   , -   ,,,, 59 ,-59,,
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 3,900 ", 188 , 434 , 212 , 190 ,13.1,4.8,13.1, -   , -   ,,, 312 , 193 ,"3,895","3,776",
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 2 , -   ,,,4.8,0, -   , -   ,,,, 7 ,-7,,
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,640 ", 154 , 61 , 53 , 58 ,46.6,4.8,46.6, -   , -   ,,, 60 , 18 ,"2,776","2,734",
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 4 , -   ,,,4.8,0, -   , -   ,,,, 5 ,-5,,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-03-21::480.0," 1,600 ", 557 , 603 , 295 , 257 ,5,4.8,6.1, -   , -   ,,, 430 , 234 ,"1,923","1,727",
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,COMPOUND,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, 10 , 11 , 3 , 1 , 2 ,10.5,4.3,10.5, -   , -   ,,, 2 , 1 ,20,19,
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",83,25, -   ,-, 75 , 16 , -   , 2 , 1 ,91,0,91, -   , -   ,,, -   , -   ,91,91,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-03-31::80.0, 90 , 44 , 6 , 8 , 7 ,22.3,4.8,35.7, -   , -   ,,, 6 , 5 ,129,128,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,6,,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 400 , 57 , 25 , 21 , 16 ,22.9,4.8,22.9, -   , -   ,,, 20 , 13 ,444,437,
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,9,,
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,,,2.5,0, -   , -   ,,,, -   ,0,,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, -   , 188 , -   , 31 , 63 ,5.9,2.5,5.9, -   , -   ,,, 32 , -   ,188,156,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,,,4.2,0, -   , -   ,,,, -   ,0,,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,70,50, -   ,-, 50 , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,50,,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,70,50, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-," 2,850 ", 115 , 694 , 547 , 576 ,4.7,2.5,4.7, -   , -   ,,, 635 , 452 ,"2,513","2,330",
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 99 , 2 , 10 , 2 ,109.5,2.5,109.5, -   , -   ,,, 2 , -   ,219,217,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,70,50, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
49,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",70,110, -   ,-," 2,750 ", 377 , 455 , 555 , 477 ,6.7,4.3,6.7, -   , -   ,,, 466 , 109 ,"3,018","2,661",
50,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",70,110, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
51,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,,,2.9,0, -   , -   ,,,, -   ,0,,
52,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),70,120, -   ,-, 360 , 75 , 307 , 98 , 104 ,2.1,4.3,2.1, 453 , 3.8 ,,, 206 , 77 ,358,229,
53,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,70,120, 480 ,NaT::480.0, 360 , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,360,,
54,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,83,10, -   ,-," 1,810 ", 309 , 347 , 314 , 314 ,6.4,4.8,6.4, -   , -   ,,, 330 , 164 ,"1,955","1,789",
55,104939,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , 39 ," 2,498 "," 2,302 "," 1,975 ",0,4.3,0," 9,615 ", 80.1 ,,," 2,236 ", 849 ,-810,"-2,197",
56,105150,AQ SYSTEM 555 LUX,GSC,O,-,ten moi cua AQUAFIX LUCID 555,70,120," 8,640 ",2023-02-15::1200.0|||2023-03-05::600.0|||2023-03-31::3000.0|||NaT::3840.0," 3,240 ", 849 , -   , 183 , 367 ,22.2,4.3,69.2, -   , -   ,,, 184 , -   ,"4,089","3,905",
57,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
58,105086,EX WT 43 051,STAHL(Singapore),O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 4,290 ",2023-02-16::1100.0|||NaT::1650.0|||NaT::1540.0," 1,320 ", 392 ," 1,712 "," 1,366 "," 2,062 ",0.9,2.8,3.2, -   , -   ,,," 1,887 "," 1,180 ",532,-175,
59,104555,FI-70-306,STAHL(Singapore),O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, 110 ,NaT::110.0, 165 , 117 , 314 , 155 , 135 ,1.3,2.8,1.8, 224 , 4.1 ,,, 224 , 208 ,74,58,
60,104512,Melio Wax AL-03,Stahl Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,,,2.8,0, -   , -   ,,,, -   ,0,,
61,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 2 , 1 ,,,4.8,0, -   , -   ,,,, 8 ,-8,,
62,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,560 ", 126 , 50 , 14 , 15 ,52.7,4.8,52.7, -   , -   ,,, 32 , 10 ,"1,676","1,654",
