,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, -   ,, 960 , 323 , -   , 242 , 245 , 180 , 5.24 ,4.7, 5.24 , -   , -   ,,, -   , -   ,443 ,443 ,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,200 ", 463 , 3 , 355 , 370 , 324 , 12.60 ,4.7, 12.60 , -   , -   ,,, 3 , -   ,"4,663 ","4,660 ",
2,100094,ACRYSOL RM-825,LANXESS,D,COMPOUND,"keo mau art: Ellington, Benfica, Viseu",23,204, 204 ,NaT::204, 204 , 363 , -   , 59 , 51 , 107 , 11.12 ,2.8, 15.12 , -   , -   ,,, -   , -   ,567 ,567 ,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 34 , -   , 30 , 30 , -   , 15.13 ,4.8, 15.13 , -   , -   ,,, -   , -   ,454 ,454 ,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 840 , 138 , 72 , 37 , 41 , 42 , 13.58 ,4.8, 13.58 , -   , -   ,,, 72 , 21 ,957 ,906 ,
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , -   , -   , 21 , 11 , -   , 10.91 ,4.8, 10.91 , -   , -   ,,, -   , -   ,120 ,120 ,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 125 , 48 , 25 , 27 , 19 , 27.60 ,4.8, 27.60 , -   , -   ,,, 48 , 6 ,"1,319 ","1,277 ",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 95 , -   , -   , 1 , -   , 95.00 ,2, 95.00 , -   , -   ,,, -   , -   ,95 ,95 ,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 16 , 1 , 1 , 1 , 0 , 186.00 ,4.8, 186.00 , -   , -   ,,, 1 , 1 ,185 ,185 ,
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
11,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, 50 ,NaT::50, -   , 15 , 8 , 27 , 33 , 15 , 0.45 ,2.8, 1.97 , -   , -   ,,, 8 , -   ,15 ,7 ,
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 15 , -   ,, -   , -   ,4.8, -   , 72 , 0.4 ,,, 15 , -   ,0 ,(15),
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 25,760 ",2023-04-15::6560|||2023-04-24::1600|||2023-05-14::4000|||NaT::13600," 2,400 ", 331 ," 6,244 "," 2,997 "," 2,897 "," 2,647 ", 0.44 ,4.8, 4.56 ," 1,249 ", 7.8 ,,," 6,244 "," 2,489 ","(2,158)","(5,913)",
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 190 , 66 , 24 , 14 , 11 , 3 , 10.67 ,4.8, 10.67 , -   , -   ,,, 24 , 2 ,254 ,232 ,
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,7 ,7 ,
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 660 , 64 , 6 , 7 , 6 , 1 , 120.67 ,4.3, 120.67 , -   , -   ,,, 6 , 5 ,719 ,718 ,
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 600 , 119 , 277 , 140 , 135 , 90 , 2.60 ,4.8, 2.60 , 609 , 5.1 ,,, 277 , 39 ,680 ,442 ,
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, -   ,, 720 , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 240 , 1 , -   , 1 , -   , 240.00 ,2, 240.00 , -   , -   ,,, 1 , -   ,240 ,239 ,
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,19 ,19 ,
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 17 , 1 , 12 , 5 , -   , 75.40 ,4.8, 75.40 , -   , -   ,,, 1 , -   ,377 ,376 ,
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 79 , 21 , 26 , 26 , 50 , 60.90 ,4.8, 60.90 , -   , -   ,,, 21 , 12 ,"1,267 ","1,258 ",
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 105 , -   , 1 , -   , -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,"1,785 ","1,785 ",
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 2 , -   ,, -   , -   ,4.8, -   , 10 , 0.1 ,,, 2 , -   ,0 ,(2),
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 2,850 ", 567 , 563 , 230 , 250 , 208 , 6.07 ,4.8, 6.07 , -   , -   ,,, 563 , 248 ,"3,169 ","2,854 ",
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 1 , -   ,, -   , -   ,4.8, -   , 5 , 0.1 ,,, 1 , -   ,0 ,(1),
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,520 ", 144 , 100 , 59 , 54 , 38 , 26.64 ,4.8, 26.64 , -   , -   ,,, 100 , 37 ,"2,627 ","2,564 ",
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160," 1,120 ",NaT::1120," 1,280 ", 536 , 610 , 310 , 298 , 234 , 2.98 ,4.8, 4.81 , -   , -   ,,, 610 , 298 ,"1,038 ",726 ,
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, -   , 1 , 8 , 3 , 5 , 4 , 0.20 ,4.8, 0.20 , 38 , 1.5 ,,, 8 , 2 ,(1),(7),
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",85,25, -   ,-, 50 , 29 , -   , 3 , 2 , 7 , 39.50 ,4.8, 39.50 , -   , -   ,,, -   , -   ,79 ,79 ,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-04-15::80, 70 , 37 , 15 , 9 , 10 , 3 , 7.13 ,4.8, 12.47 , -   , -   ,,, 15 , 5 ,102 ,92 ,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,6 ,6 ,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 330 , 74 , 35 , 23 , 25 , 22 , 11.54 ,4.8, 11.54 , -   , -   ,,, 35 , 14 ,390 ,369 ,
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,9 ,9 ,
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, -   , -   , -   , 63 , 63 , 188 , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,80,50, -   ,-, -   , 46 , -   , 1 , 1 , -   , 46.00 ,4.7, 46.00 , -   , -   ,,, -   , -   ,46 ,46 ,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,80,50, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,," 1,900 ", 41 ," 1,018 ", 729 , 848 , 825 , 1.91 ,2.5, 1.91 , -   , -   ,,," 1,018 ", 494 ,"1,447 ",923 ,
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 95 , 1 , 8 , -   , -   , -   ,2.5, -   , -   , -   ,,, 1 , -   ,215 ,214 ,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,80,50, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
49,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",80,110, -   ,-, 880 , 355 , 567 , 650 , 699 , 386 , 2.18 ,4.7, 2.18 ," 1,418 ", 12.9 ,,, 567 , 186 ,"1,049 ",668 ,
50,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",80,110," 3,080 ",2023-04-22::1430|||2023-05-14::1650, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
51,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.9, -   , -   , -   ,,, -   , -   ,0 ,0 ,
52,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),80,120, -   ,-, -   , 101 , 254 , 122 , 138 , 42 , 0.40 ,4.7, 4.18 ," 1,092 ", 9.1 ,,, 254 , 69 ,32 ,(153),
53,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,80,120, 960 ,2023-04-24::480|||2023-04-24::480, 360 , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,360 ,360 ,
54,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,85,10, 890 ,2023-05-12::10|||2023-05-16::740|||NaT::140, 860 , 196 , 448 , 353 , 374 , 323 , 2.36 ,4.8, 4.34 , 224 , 22.4 ,,, 448 , 187 ,869 ,608 ,
55,104939,AQUAFIX LUCID 555,GSC,O,-,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , -   , -   ," 1,430 ", 286 , -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
56,105150,AQ SYSTEM 555 LUX,GSC,O,COMPOUND,ten moi cua AQUAFIX LUCID 555,70,120," 12,840 ",2023-04-15::3000|||2023-04-22::3840|||2023-05-14::3000|||NaT::3000, -   , -   ," 2,960 "," 1,477 "," 2,953 ", -   , -   ,4.3, 4.34 , -   , -   ,,," 2,960 "," 1,104 ","(1,104)","(2,960)",
57,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
58,105086,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 2,530 ",2023-05-11::2530," 1,980 ", 217 ," 2,446 "," 2,004 "," 2,203 "," 2,285 ", 0.90 ,2.8, 1.93 ," 2,201 ", 20.0 ,,," 2,446 "," 1,268 ",929 ,(249),
59,104555,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, 770 ,NaT::770, 275 , 62 , 426 , 222 , 293 , 178 , 0.79 ,2.8, 2.60 , 85 , 1.5 ,,, 426 , 85 ,252 ,(89),
60,104512,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
61,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
62,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 131 , 33 , 17 , 21 , 23 , 47.61 ,4.8, 47.61 , -   , -   ,,, 33 , 1 ,"1,570 ","1,538 ",
63,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
64,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,240 ", 279 , 753 , 342 , 400 , 440 , 4.67 ,4.8, 4.67 , 75 , 0.6 ,,, 753 , 343 ,"3,176 ","2,766 ",
65,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
66,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 600 , 188 , 217 , 71 , 91 , 22 , 3.63 ,4.8, 3.63 , 260 , 2.2 ,,, 217 , 69 ,719 ,571 ,
67,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",70,10, -   ,-, 370 , 86 , 69 , 36 , 48 , 42 , 6.61 ,4.8, 6.61 , -   , -   ,,, 69 , 24 ,432 ,387 ,
68,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
69,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
70,104766,BRITEX GREEN,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
71,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850," 34,000 ",NaT::34000," 2,550 "," 2,429 "," 21,337 "," 19,682 "," 21,035 "," 17,986 ", 0.23 ,2.5, 1.83 ," 14,936 ", 17.6 ,,," 21,337 "," 9,051 ","(4,072)","(16,358)",
72,104564,HM-283,STAHL Singapore,O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,, -   , -   ,2.7, -   , -   , -   ,,, -   , -   ,100 ,100 ,
73,100029,HM-183                   ,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,15 ,15 ,
74,104563,HM-132,STAHL Singapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
75,105205,HM-22-132,STAHL Singapore,O,COMPOUND,FISS nitro,25,25, -   ,-, 100 , 20 , 57 , 46 , 44 , 44 , 2.11 ,2.8, 2.11 , 40 , 1.6 ,,, 57 , 26 ,94 ,63 ,
76,100322,ICALAC SB 200,ICAP,O,COMPOUND,"KELA mua nhieu len, de 2 thang mua mot lan",83,110," 3,850 ",2023-04-21::1650|||NaT::2200," 1,430 ", 193 ," 1,277 ", 898 , 861 , 815 , 1.27 ,4.8, 4.29 , 639 , 5.8 ,,," 1,277 ", 679 ,944 ,346 ,
