Material,Long Material Description,Supplier,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Notes
105086,EX WT 43 051,STAHL Singapore,25,110," 4,290 ",2023-02-16::1100.0|||nan::1650.0|||nan::1540.0, 770 , 442 ," 1,703 "," 1,366 "," 2,062 ",0.6,2.8,2.9," 1,882 "," 1,376 ",-164,-670,1100Kg ETA: 16/02/2023. Need to get it to warehouse
104931,BINDER M-PR 400,GSC ITALY,70,1000," 91,000 ",2023-02-15::10000.0|||2023-03-05 00:00:00::5000.0|||2023-03-21 00:00:00::2000.0|||2023-03-31 00:00:00::8000.0|||2023-03-21 00:00:00::10000.0|||nan::18000.0|||nan::5000.0|||nan::33000.0," 7,000 "," 1,647 "," 31,555 "," 14,442 "," 16,025 ",0.4,4.3,4.2," 23,790 "," 19,343 ","-10,696","-15,143","10000Kg ETA: 15/02/2023, 5000Kg ETA: 05/03/2023. Need to get it to warehouse"
105223,EXP AQ SYSTEM EF 91/8,GSC,70,120," 9,120 ",2023-02-15 00:00:00::4560.0|||2023-03-21 00:00:00::4560.0, -   , 516 ," 2,118 "," 1,788 "," 1,515 ",0.3,4.3,5.3," 1,816 "," 2,415 ","-1,899","-1,300",4560Kg ETA: 15/02/2023. Need to get it to warehouse
104932,BINDER W 212,GSC ITALY,70,1000, -   ,-, -   , 769 ," 10,252 "," 3,438 "," 3,548 ",0.1,4.3,0.1," 6,900 "," 5,277 ","-4,508","-6,131",
105151,BINDER W 207,GSC ITALY,70,1000," 26,000 ",2023-02-15 00:00:00::2000.0|||2023-03-21 00:00:00::3000.0|||nan::3000.0|||nan::18000.0," 2,000 ", -   , -   , -   ,,,4.3,0,, -   ,"2,000",,2000Kg ETA: 15/02/2023. Need to get to warehouse. And NEED TO PUSH FOR 3000Kg ETA: 21/03/2023 as soon as possible
104928,RODA BASE 5615,TFL,83,120," 24,000 ",2023-03-27 00:00:00::6000.0|||nan::18000.0, -   , -   ," 3,961 "," 1,578 "," 2,273 ",0,4.8,7.7," 3,117 "," 4,212 ","-4,212","-3,117",Need as soon as possible
104891,LS-64-256,STAHL Singapore,25,100," 1,500 ",nan::1000.0|||nan::500.0, -   , 429 , 940 , 480 , 408 ,0.6,2.8,2.9, 674 , 512 ,-83,-245,Need as soon as possible
104676,MELIO PROMUL AP-39 A,STAHL Singapore,25,120," 3,960 ",nan::2040.0|||nan::1920.0, -   , 760 ," 2,364 "," 1,214 "," 1,100 ",0.4,2.8,2.7," 1,732 "," 1,190 ",-430,-972,Need as soon as possible
105505,ASTACIN FINISH PUMN TF,STAHL Singapore,28,120," 8,040 ",nan::2640.0|||nan::5400.0, 840 , 693 ," 4,495 "," 2,003 "," 2,002 ",0.5,2.9,2.9," 3,248 "," 2,697 ","-1,164","-1,715",Need as soon as possible
104846,RODA FEEL N 4,TFL,83,60," 3,360 ","LCL shipment, ship from Thailand, available mid Feb::780.0|||2023-03-27 00:00:00::1200.0|||nan::300.0|||nan::1080.0", -   , 168 , 819 , 576 , 610 ,0.2,4.8,4.9, 714 , 361 ,-193,-546,Need as soon as possible
