,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-04-09::840.0, 480 , 287 , 233 , 207 , 233 , 218 , 3.29 , 4.67 , 6.90 , -   , -   ,,, -   , -   ,767 ,767 ,,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,680 ", 485 , 319 , 334 , 319 , 348 , 16.19 ,4.7, 16.19 , -   , -   ,,, 3 , -   ,"5,165 ","5,162 ",,
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 95 , 46 , 58 , 46 , 58 , 2.07 , 2.77 , 2.07 , -   , -   ,,, -   , -   ,95 ,95 ,,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 29 , 42 , 28 , 42 , 21 , 10.69 , 4.83 , 10.69 , -   , -   ,,, -   , -   ,449 ,449 ,,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 96 , 82 , 28 , 37 , 46 ,12.9,4.8, 12.90 , -   , -   ,,, 82 , 35 ,"1,021 ",974 ,,
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , 8 , 13 , 22 , 13 , 12 , 9.85 , 4.83 , 9.85 , -   , -   ,,, -   , -   ,128 ,128 ,,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 169 , 50 , 21 , 18 , 28 ,27.4,4.8, 27.40 , -   , -   ,,, 50 , 6 ,"1,363 ","1,319 ",,
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 96 , -   , -   ,, -   ,#DIV/0!, 2.00 ,#DIV/0!, -   , -   ,,, -   , -   ,96 ,96 ,,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 10 , 1 , 1 , 1 , 1 , 180.00 ,4.8, 180.00 , -   , -   ,,, 1 , -   ,180 ,179 ,,
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
11,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, 25 ,NaT::25.0, 25 , 2 , 23 , 20 , 23 , 16 , 1.17 ,2.8, 2.26 , -   , -   ,,, 8 , 4 ,23 ,19 ,,
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 15 , -   ,, -   ,0,4.8, -   , 72 , 0.4 ,,, 15 , -   ,0 ,(15),,
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 14,560 ",2023-04-09::800.0|||2023-04-15::6560.0|||2023-04-09::1600.0|||2023-04-24::1600.0|||NaT::4000.0," 1,920 "," 1,072 "," 5,511 "," 2,726 "," 2,672 "," 2,798 ",0.5,4.8, 3.14 ," 8,818 ", 55.1 ,,," 5,511 "," 2,432 ",560 ,"(2,519)",,
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 220 , 28 , 27 , 13 , 15 , 8 ,9.2,4.8, 9.20 , -   , -   ,,, 27 , 1 ,247 ,221 ,,
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,7 ,7 ,,
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 660 , 69 , 5 , 8 , 5 , 6 , 145.80 ,4.3, 145.80 , -   , -   ,,, 6 , 2 ,727 ,723 ,,
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 840 , 86 , 271 , 121 , 114 , 110 ,3.4,4.8, 3.40 , 379 , 3.2 ,,, 271 , 128 ,798 ,655 ,,
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, 720 ,2023-04-09::720.0, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 240 , 1 , -   , 1 , -   , 240.00 , 2.00 , 240.00 , -   , -   ,,, -   , -   ,240 ,240 ,,
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , 12 , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,31 ,31 ,,
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 19 , 11 , 11 , 11 , 7 , 34.45 ,4.8, 34.45 , -   , -   ,,, 1 , -   ,379 ,378 ,,
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 133 , 17 , 27 , 23 , 25 ,78.4,4.8, 78.40 , -   , -   ,,, 17 , 2 ,"1,331 ","1,316 ",,
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.00 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 111 , 1 , 1 , 1 , -   ," 1,791.00 ", 4.33 ," 1,791.00 ", -   , -   ,,, -   , -   ,"1,791 ","1,791 ",,
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 10 , 0.1 ,,, 2 , -   ,0 ,(2),,
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 3,300 ", 426 , 445 , 229 , 210 , 227 ,8.4,4.8, 8.40 , -   , -   ,,, 445 , 154 ,"3,572 ","3,281 ",,
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 5 , 0.1 ,,, 1 , -   ,0 ,(1),,
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,640 ", 104 , 80 , 50 , 50 , 34 ,34.3,4.8, 34.30 , -   , -   ,,, 80 , 31 ,"2,713 ","2,664 ",,
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-04-09::480.0," 1,280 ", 447 , 600 , 282 , 271 , 339 ,2.9,4.8, 3.70 , 660 , 4.1 ,,, 600 , 246 ,"1,481 ","1,127 ",,
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,COMPOUND,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, -   , 10 , 2 , 1 , 2 , 9 , 5.00 ,4.3, 5.00 , 3 , 0.1 ,,, 3 , 1 ,9 ,7 ,,
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",85,25, -   ,-, 75 , 14 , 2 , 3 , 2 , 1 , 44.50 , 4.83 , 44.50 , -   , -   ,,, -   , -   ,89 ,89 ,,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-04-13::80.0, 90 , 28 , 8 , 9 , 8 , 12 , 14.75 ,4.8, 24.75 , -   , -   ,,, 6 , 8 ,110 ,112 ,,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,6 ,6 ,,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 330 , 95 , 23 , 22 , 23 , 21 ,18.5,4.8, 18.50 , -   , -   ,,, 23 , 13 ,412 ,402 ,,
