,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Notes
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-04-10::840.0, 480 , 279 , -   , 207 , 233 , 227 , 3.26 ,4.7, 6.86 , -   , -   ,,, -   , -   ,759 ,759 ,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,680 ", 447 , 3 , 334 , 319 , 387 , 16.07 ,4.7, 16.07 , -   , -   ,,, 3 , -   ,"5,127 ","5,124 ",
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 95 , -   , 58 , 46 , 58 , 2.07 ,2.8, 2.07 , -   , -   ,,, -   , -   ,95 ,95 ,Will purchase on the next chemical meeting to reach the stock-set
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 29 , -   , 28 , 42 , 21 , 10.69 ,4.8, 10.69 , -   , -   ,,, -   , -   ,449 ,449 ,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 96 , 82 , 28 , 37 , 46 , 12.88 ,4.8, 12.88 , -   , -   ,,, 82 , 34 ,"1,022 ",974 ,
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , 8 , -   , 22 , 13 , 12 , 9.85 ,4.8, 9.85 , -   , -   ,,, -   , -   ,128 ,128 ,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 168 , 50 , 21 , 18 , 28 , 27.36 ,4.8, 27.36 , -   , -   ,,, 50 , 6 ,"1,362 ","1,318 ",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 96 , -   , -   ,, 0 ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,96 ,96 ,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 10 , 1 , 1 , 1 , 2 , 180.00 ,4.8, 180.00 , -   , -   ,,, 1 , -   ,180 ,179 ,
