,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,,
77, Already received 6000 kgs by air but haven't put it on the system(3000kg already in). Another air freight for 6000kgs will be arranged ASAP due to carrier delay.,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,80,1000," 86,000 ",2023-04-02::18000.0|||2022-05-12::18000.0|||2023-05-08::8000.0|||2023-05-16::18000.0|||NaT::18000.0|||2023-03-22::3000.0|||2023-03-22::3000.0," 1,000 "," 1,965 "," 16,854 "," 6,475 "," 7,789 "," 7,406 ", 0.18 ,4.7, 5.28 , -   , -   ,,," 16,854 "," 6,199 ","(3,234)","(13,889)",, 
81,"1st shipment: ETD 24.03, ETA 28.03: 4000kgs
   2nd shipment: ETD 23.03, ETA 26.03: 3000kgs
 Shipments should be on time",104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,80,1000," 119,000 ",2023-04-10::2000.0|||2023-04-15::8000.0|||2023-04-10::10000.0|||2023-04-17::18000.0|||2023-04-22::5000.0|||2023-04-24::24000.0|||2023-04-24::9000.0|||2023-05-08::24000.0|||2023-05-08::6000.0|||NaT::6000.0|||NaT::7000.0, -   ," 2,143 "," 34,794 "," 16,034 "," 16,813 "," 23,033 ", 0.06 ,4.7, 3.48 ," 41,753 ", 41.8 ,,," 34,794 "," 17,483 ","(15,340)","(32,651)",,
83,"  1st shipment: ETD 24.03, ETA 28.03: 2000kgs
   2nd shipment: ETD 23.03, ETA 26.03: 3000kgs
 Shipments should be on time",105151,BINDER W 207,GSC ITALY,O,-,ten moi BINDER W 212,80,1000," 47,000 ",2023-04-10::3000.0|||2023-04-22::3000.0|||2023-04-24::7000.0|||2023-04-24::11000.0|||2023-05-08::12000.0|||2023-05-08::6000.0|||NaT::5000.0," 1,000 ", 828 , -   , 219 , 438 ," 5,859 ", 0.05 ,4.7, 1.40 , -   , -   ,,, -   , -   ,"1,828 ","1,828 ",,
84, Shipments should be on time  ,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",85,120," 34,000 ",2023-03-28::6000.0|||2023-05-15::11000.0|||NaT::7000.0|||NaT::10000.0, -   , 92 ," 5,572 "," 1,455 "," 1,861 "," 1,509 ", 0.02 ,4.8, 6.12 , -   , -   ,,," 5,572 "," 8,990 ","(8,898)","(5,480)",,
129,Consumption high - available in Sing on 13.04,105410,EX-WT-35-711,STAHL Singapore,O,COMPOUND,xai FISS water ,25,120," 13,440 ",NaT::1680.0|||NaT::3240.0|||NaT::3600.0|||NaT::4920.0," 1,200 ", 524 ," 6,654 "," 3,532 "," 4,596 "," 7,678 ", 0.26 ,2.8, 2.28 ," 3,327 ", 27.7 ,,," 6,654 "," 4,066 ","(2,342)","(4,930)",, 
142,Supplier delays ETA from May 10th to May 15th. Stock will not be enough for production until then.,104929,RODA BASE RECO 8,TFL,O,COMPOUND,PRE,85,115," 10,580 ",2023-03-28::5750.0|||2023-05-15::575.0|||NaT::4255.0," 6,210 ", 286 ," 4,449 "," 3,740 "," 3,734 "," 5,485 ", 1.46 ,4.8, 3.84 ," 4,449 ", 38.7 ,,," 4,449 "," 2,397 ","4,099 ","2,047 ",, 
198," Air freight from Europe, Available in the first week of April (150kg)",100413,MELIO FOAM AX-03,STAHL Singapore,O,COMPOUND,add on FONDO FOAM,25,50, 600 ,NaT::150.0|||NaT::150.0|||NaT::150.0 ||| Air freight:: 150, -   , 34 , 242 , 103 , 136 , 162 , 0.14 ,2.8, 2.62 , 194 , 3.9 ,,, 242 , 80 ,(46),(208),, 
216,Supplier delays ETA from May 10th to May 15th. Stock will not be enough for production until then.  ,104846,RODA FEEL N 4,TFL,O,COMPOUND,"Fiss Baltimora, Tatto Milling ",85,60," 3,180 ",2023-03-28::1200.0|||2023-05-15::1080.0|||2023-05-10::300.0|||NaT::600.0 |||, -   , 60 , 776 , 584 , 665 ," 1,020 ", 0.08 ,4.8, 4.18 , 466 , 7.8 ,,, 776 , 580 ,(520),(716),,
139,"  Air freight: 1200kgs -ETA: 28.03. Out of stock now, look for a supplier in Vietnam  ",105465,OPERA OCRA DL,GSC,O,PIGMENT,GSC project,70,150," 14,550 ",2023-04-10::3900.0|||2023-04-24::3750.0|||NaT::4500.0|||NaT::1200.0, -   , 131 ," 3,238 "," 1,454 "," 1,569 "," 2,177 ", 0.04 ,4.8, 4.53 ," 1,943 ", 13.0 ,,," 3,238 "," 1,943 ","(1,812)","(3,107)",,
104,Consumtion high - need to follow up,104937,MELIO AQUABASE W-MN,STAHL Singapore,O,-,STUCCO BY HAND,25,70, -   ,-, -   , 391 , -   , 362 , 366 , 422 , 1.07 ,2.8, 1.07 , -   , -   ,,, -   , -   ,391 ,391 ,,
13," Air freight: 380kgs - ETA28.03. Shipment should be on time  
  Shipments should be on time  ",105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 15,200 ",2023-04-10::800.0|||2023-04-15::6560.0|||2023-04-10::1600.0|||2023-04-24::1600.0|||2023-05-08::4000.0|||NaT::320.0, 960 ," 1,063 "," 5,393 "," 2,726 "," 2,672 "," 3,767 ", 0.38 ,4.8, 3.19 ," 9,168 ", 57.3 ,,," 5,393 "," 2,998 ",(975),"(3,370)",,
52,Shipments should be on time,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),80,120, -   ,-, 120 , 46 , 233 , 110 , 106 , 193 , 0.71 ,4.7, 4.83 , 932 , 7.8 ,,, 233 , 16 ,150 ,(67),,
53,,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,80,120, 960 ,2023-04-17::480.0|||2023-04-24::480.0, 360 , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,360 ,360 ,,
55," Mostly out of stock, but have the confirmation from the technician team for Smithfix 9631 as an alternative (14mt of 9631 in stock)  ",104939,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , 39 ," 2,805 "," 1,913 "," 1,268 ", -   , 0.01 ,4.3, 0.01 ," 12,062 ", 100.5 ,,," 2,805 "," 1,379 ","(1,340)","(2,766)",,
56,,105150,AQ SYSTEM 555 LUX,GSC,O,COMPOUND,ten moi cua AQUAFIX LUCID 555,70,120," 9,840 ",2023-04-15::3000.0|||2023-04-22::3840.0|||2023-05-08::3000.0, -   , 200 , -   , 728 ," 1,456 "," 4,311 ", 0.07 ,4.3, 3.58 , -   , -   ,,, -   , -   ,200 ,200 ,,
58,Shipments should be on time,105086,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 3,740 ",NaT::2200.0|||2023-03-26::1540.0, 440 , 122 ," 1,969 "," 1,538 "," 2,120 "," 2,612 ", 0.29 ,2.8, 2.18 ," 1,181 ", 10.7 ,,," 1,969 "," 2,109 ","(1,547)","(1,407)",,
59,Shipments should be on time,104555,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, 440 ,2023-03-26::440.0, 55 , 51 , 297 , 169 , 184 , 373 , 0.36 ,2.8, 1.84 , 297 , 5.4 ,,, 297 , 183 ,(77),(191),,
79,Consumtion high - need to follow up,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 1,920 ",2023-03-26::1920.0," 3,000 ", 85 ," 2,016 ", 865 , 730 ," 2,977 ", 1.53 ,4.3, 2.48 ," 3,629 ", 30.2 ,,," 2,016 ", 805 ,"2,280 ","1,069 ",,
93,Shipments should be on time,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120," 1,440 ",2023-04-17::360.0|||2023-05-08::1080.0, 360 , 48 , 411 , 205 , 217 , 342 , 0.99 ,4.8, 4.50 , 123 , 1.0 ,,, 411 , 74 ,334 ,(3),,
99,Shipments should be on time,104891,LS-64-256,STAHL Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100," 1,800 ",2023-03-26::1800.0, 200 , 121 , 984 , 555 , 649 ," 1,191 ", 0.33 ,2.8, 2.16 , 590 , 5.9 ,,, 984 , 516 ,(195),(663),,
101,Shipments should be on time,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",85,110," 11,550 ",2023-03-28::4400.0|||NaT::7150.0, -   , 380 , 4 ," 2,274 "," 2,566 "," 3,741 ", 0.15 ,4.8, 4.65 , -   , -   ,,, 4 , -   ,380 ,376 ,,
107,Shipments should be on time,104676,MELIO PROMUL AP-39 A,STAHL Singapore,O,COMPOUND,-,25,120," 2,400 ",2023-03-30::2400.0," 1,800 ", 960 ," 2,371 "," 1,297 "," 1,183 "," 1,483 ", 1.16 ,2.8, 2.18 ," 1,423 ", 11.9 ,,," 2,371 ", 984 ,"1,776 ",389 ,,
109,Shipments should be on time,105505,ASTACIN FINISH PUMN TF,STAHL Singapore,O,COMPOUND,xai het PUR 65 chuyen qua xai TF Singapore,28,120," 9,600 ",2023-03-26::5400.0|||NaT::4200.0, 240 , 610 ," 4,654 "," 2,183 "," 2,161 "," 2,384 ", 0.18 ,2.9, 2.25 ," 3,258 ", 27.1 ,,," 4,654 "," 2,758 ","(1,908)","(3,804)",,
110,Shipments should be on time,104960,RODA LINK 5504/N,TFL,O,COMPOUND,cross linker,85,10," 2,200 ",2023-03-28::1500.0|||NaT::700.0," 1,320 ", 618 ," 1,293 ", 611 , 611 , 892 , 1.50 ,4.8, 3.20 ," 2,069 ", 206.9 ,,," 1,293 ", 657 ,"1,281 ",645 ,,
133,Shipments should be on time,104824,NOVOLAC 750,RECALAC,O,COMPOUND,EMU DARK,70,1000," 21,000 ",2023-04-23::10000.0|||2023-05-08::10000.0|||2023-03-22::1000.0," 4,000 "," 1,015 "," 2,530 "," 4,508 "," 5,903 "," 7,713 ", 1.98 ,4.3, 10.28 , -   , -   ,,," 2,530 "," 1,414 ","2,601 ","1,485 ",,
135,Shipments should be on time,105223,EXP AQ SYSTEM EF 91/8,GSC,O,COMPOUND,"EFFETTO water: BONO TT TIP,HP, BRAZOS,VINCI, MALLORCA,BENTON,ANGKOR,RAIDER,GABLES,ROSSINI TT TIP",70,120," 4,560 ",2023-04-10::4560.0," 1,560 ", 609 ," 1,597 "," 1,939 "," 1,652 "," 1,989 ", 1.36 ,4.3, 4.21 , 160 , 1.3 ,,," 1,597 ", 628 ,"1,541 ",572 ,,
136,,105170,AQ SYSTEM EF 91/8,,,-,-,0,, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   ,,,, -   , -   ,0 ,0 ,,
171,Shipments should be on time,105336,EX-SU-76-235,STALH Singapore,O,COMPOUND,"EFF, FISS nitro",25,180," 1,440 ",2023-03-26::1440.0, 540 , 432 ," 1,319 ", 991 ," 1,047 "," 1,507 ", 0.74 ,2.8, 1.83 ," 1,319 ", 7.3 ,,," 1,319 ", 788 ,184 ,(347),,
71,Already have the contract with suppiler.,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850, -   ,-," 1,700 "," 1,146 "," 18,202 "," 16,892 "," 18,370 "," 26,845 ", 0.16 ,2.5, 0.16 ," 41,865 ", 49.3 ,,," 18,202 "," 11,851 ","(9,005)","(15,356)",,
156,Already have the contract with suppiler.,104672,MP1,RIVERBANK,D,COMPOUND,pha màu và v? sinh,14,190, -   ,-," 1,900 "," 1,369 "," 2,016 "," 3,095 "," 3,394 "," 4,642 ", 1.62 ,2.5, 1.62 ," 1,814 ", 9.5 ,,," 2,016 "," 1,045 ","2,224 ","1,253 ",,
