,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Working days in month,Days remain,Consumption per day,Notes
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-04-10::840.0, 360 , 266 , -   , 207 , 233 , 298 , 2.69 ,4.7, 6.29 , -   , -   ,,, -   , -   ,626 ,626 ,27,1, 11 ,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,560 ", 473 , 3 , 334 , 319 , 451 , 15.78 ,4.7, 15.78 , -   , -   ,,, 3 , -   ,"5,033 ","5,030 ",,, 17 ,
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 59 , -   , 58 , 46 , 87 , 1.28 ,2.8, 1.28 , -   , -   ,,, -   , -   ,59 ,59 ,,, 3 ,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 34 , -   , 28 , 42 , 21 , 10.81 ,4.8, 10.81 , -   , -   ,,, -   , -   ,454 ,454 ,,, 1 ,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 64 , 75 , 28 , 37 , 47 , 13.65 ,4.8, 13.65 , -   , -   ,,, 75 , 36 ,988 ,949 ,,, 2 ,
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , -   , -   , 22 , 13 , 24 , 9.23 ,4.8, 9.23 , -   , -   ,,, -   , -   ,120 ,120 ,,, 1 ,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 152 , 47 , 21 , 18 , 31 , 28.77 ,4.8, 28.77 , -   , -   ,,, 47 , 7 ,"1,345 ","1,305 ",,, 1 ,
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 95 , -   , -   ,, 2 ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,95 ,95 ,,, 0 ,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 17 , 1 , 1 , 1 , 2 , 187.00 ,4.8, 187.00 , -   , -   ,,, 1 , -   ,187 ,186 ,,, 0 ,
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
11,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, 25 ,2023-03-29::25.0, -   , 5 , 8 , 20 , 23 , 39 , 0.22 ,2.8, 1.30 , -   , -   ,,, 8 , -   ,5 ,(3),,, 1 ,
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 15 , -   ,, -   , -   ,4.8, -   , 72 , 0.4 ,,, 15 , -   ,0 ,(15),,, -   ,
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 14,880 ",2023-04-10::800.0|||2023-04-15::6560.0|||2023-04-10::1600.0|||2023-04-24::1600.0|||2023-05-08::4000.0|||2023-03-29::320.0, 320 ," 1,651 "," 5,426 "," 2,726 "," 2,672 "," 3,818 ", 0.36 ,4.8, 3.11 ," 9,224 ", 57.7 ,,," 5,426 "," 2,180 ",(457),"(3,703)",,, 147 ,
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 220 , 39 , 25 , 13 , 15 , 10 , 10.36 ,4.8, 10.36 , -   , -   ,,, 25 , -   ,259 ,234 ,,, 0 ,
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,7 ,7 ,,, -   ,
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 660 , 66 , 6 , 8 , 5 , 7 , 145.20 ,4.3, 145.20 , -   , -   ,,, 6 , 2 ,724 ,720 ,,, 0 ,
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 720 , 122 , 264 , 121 , 114 , 115 , 3.19 ,4.8, 3.19 , 422 , 3.5 ,,, 264 , 151 ,691 ,578 ,,, 4 ,
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, 720 ,2023-04-10::720.0, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 240 , -   , -   , 1 , 0 , 240.00 ,2, 240.00 , -   , -   ,,, -   , -   ,240 ,240 ,,, 0 ,
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,19 ,19 ,,, -   ,
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 17 , 1 , 11 , 11 , 7 , 34.27 ,4.8, 34.27 , -   , -   ,,, 1 , -   ,377 ,376 ,,, 0 ,
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 132 , 18 , 27 , 23 , 27 , 74.00 ,4.8, 74.00 , -   , -   ,,, 18 , 10 ,"1,322 ","1,314 ",,, 1 ,
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 106 , -   , 1 , 1 , -   ," 1,786.00 ",4.3," 1,786.00 ", -   , -   ,,, -   , -   ,"1,786 ","1,786 ",,, -   ,
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 2 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 10 , 0.1 ,,, 2 , -   ,0 ,(2),,, -   ,
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 3,300 ", 351 , 446 , 229 , 210 , 269 , 8.19 ,4.8, 8.19 , -   , -   ,,, 446 , 199 ,"3,452 ","3,205 ",,, 10 ,
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 1 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 5 , 0.1 ,,, 1 , -   ,0 ,(1),,, -   ,
