,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120,840,2023-04-17::840.0,360,234,0,242,245,22.95,594,4.7,1434,0,0,,,0,0,594,594
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120,0,-,4440,493,3,355,370,54.9,1644.3,4.7,1644.3,0,0,,,3,0,4933,4930
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204,0,-,0,59,0,59,51,0,59,2.8,59,0,0,,,0,0,59,59
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60,0,-,420,34,0,30,30,0,454,4.8,454,0,0,,,0,0,454,454
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120,0,-,960,41,77,37,41,1.266,13,4.8,13,0,0,,,77,1,1000,924
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120,0,-,120,0,0,21,11,0,120,4.8,120,0,0,,,0,0,120,120
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120,0,-,1200,128,48,25,27,16.712,27.7,4.8,27.7,0,0,,,48,6,1322,1280
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120,0,-,0,0,0,0,,0,0,4.3,0,0,0,,,0,0,0,0
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1,0,-,0,95,0,0,1,0,95,2,95,0,0,,,0,0,95,95
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10,0,-,170,17,1,1,1,0,187,4.8,187,0,0,,,1,0,187,186
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10,0,-,0,0,0,0,,0,0,4.3,0,0,0,,,0,0,0,0
11,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25,0,-,25,5,8,27,33,0,3.8,2.8,3.8,0,0,,,8,0,30,22
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160,0,-,0,0,15,0,,0,0,4.8,0,72,0.4,,,15,0,0,-15
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160,15840,2023-04-17::800.0|||2023-04-15::6560.0|||2023-04-17::1600.0|||2023-04-24::1600.0|||2023-05-14::4000.0|||NaT::640.0|||NaT::640.0,320,1164,6397,2997,2897,210.351,0.2,4.8,2.7,13433.7,84,,,6397,688,796,-4913
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10,0,-,0,0,0,0,,0,0,4.8,0,0,0,,,0,0,0,0
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10,0,-,220,39,25,14,11,0.219,10.4,4.8,10.4,0,0,,,25,0,259,234
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10,0,-,0,7,0,0,,0,7,4.3,7,0,0,,,0,0,7,7
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,80,1000,0,-,0,0,0,0,,0,0,4.7,0,0,0,,,0,0,0,0
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,80,1000,0,-,0,0,0,0,,0,0,4.7,0,0,0,,,0,0,0,0
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30,0,-,660,66,6,7,6,0,121,4.3,121,0,0,,,6,1,725,720
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120,0,-,0,0,0,0,,0,0,4.8,0,0,0,,,0,0,0,0
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120,0,-,720,76,283,140,135,13.012,2.8,4.8,2.8,566,4.7,,,283,51,745,513
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120,720,2023-04-17::720.0,0,0,0,0,,0,0,4.3,720,0,0,,,0,0,0,0
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1,0,-,0,240,1,0,1,0,240,2,240,0,0,,,1,0,240,239
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1,0,-,19,0,0,0,,0,19,4.3,19,0,0,,,0,0,19,19
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60,0,-,360,17,1,12,5,0,377,4.8,377,0,0,,,1,0,377,376
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120,0,-,1200,99,21,26,26,30.222,61.9,4.8,61.9,0,0,,,21,1,1298,1278
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1,0,-,0,0,0,0,,0,0,2,0,0,0,,,0,0,0,0
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30,0,-,1680,105,0,1,0,0,1785,4.3,1785,0,0,,,0,0,1785,1785
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160,0,-,0,0,2,0,,0,0,4.8,0,9.6,0.1,,,2,0,0,-2
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150,0,-,3150,420,565,230,250,46.824,6.3,4.8,6.3,0,0,,,565,105,3465,3005
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60,0,-,0,0,1,0,,0,0,4.8,0,4.8,0.1,,,1,0,0,-1
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120,0,-,2520,179,102,59,54,2.627,26.5,4.8,26.5,0,0,,,102,5,2694,2597
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160,0,-,0,0,0,0,,0,0,4.8,0,0,0,,,0,0,0,0
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160,480,2023-04-17::480.0,1120,426,638,310,298,24.637,2.4,4.8,3.2,1020.8,6.4,,,638,53,1493,908
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25,0,-,0,3,8,3,5,2.23,0.4,4.8,0.4,35.2,1.4,,,8,0,3,-5
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",85,25,0,-,75,5,0,3,2,5.65,80,4.8,80,0,0,,,0,0,80,80
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10,80,2023-04-15::80.0,70,38,10,9,10,1.543,10.8,4.8,18.8,0,0,,,10,0,108,98
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10,0,-,0,6,0,0,,0,6,4.3,6,0,0,,,0,0,6,6
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10,0,-,330,89,34,23,25,7.28,12.3,4.8,12.3,0,0,,,34,7,412,385
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10,0,-,0,9,0,0,,0,9,4.3,9,0,0,,,0,0,9,9
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188,0,-,0,0,0,0,,0,0,2.5,0,0,0,,,0,0,0,0
