Material,Long Material Description,Batch,Unrestricted,Storage Location,Drops,Vendor Batch,SLED/BBD,Last Movement Date,Machine used for Drops,Prodn Supervisor
100029,HM183,1000378269,15,CH10,12,11213801S0,2/1/2020,1/2/2023,30.01.2022,
100094,ACRYSOL RM-825,1000946610,204,CH01,,A007M7P002,9/14/2024,4/12/2023,,
100094,ACRYSOL RM-825,1000969965,204,CH03,,A007M7P002,10/14/2023,6/14/2023,,
100094,ACRYSOL RM-825,1000944122,159.889,CH10,,A007M7P002,9/14/2023,7/6/2023,,
100094,ACRYSOL RM-825,1000948788,0.200,CH10,1,A007M7P002,9/14/2023,6/23/2023,,
100094,ACRYSOL RM-825,1000969964,130.866,CH20,,A007M7P002,10/14/2023,7/6/2023,,
100322,ICALAC SB 200,1000964948,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964949,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964950,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964951,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964952,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964953,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964954,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964955,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964956,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964957,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964958,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964959,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964960,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964961,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964962,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964963,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964964,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964965,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964966,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000964967,110,CH01,,P23G000291,2/8/2024,5/31/2023,,
100322,ICALAC SB 200,1000950535,248.435,CH10,,P23F000063,1/20/2024,7/6/2023,,
100413,MELIO FOAM AX-03,1000947456,50,CH01,,11650724L0,2/1/2024,4/13/2023,,
100413,MELIO FOAM AX-03,1000947457,50,CH01,,11650724L0,2/1/2024,4/13/2023,,
100413,MELIO FOAM AX-03,1000947459,50,CH01,,11650724L0,2/1/2024,4/13/2023,,
100413,MELIO FOAM AX-03,1000947460,50,CH01,,11650724L0,2/1/2024,4/13/2023,,
100413,MELIO FOAM AX-03,1000947461,50,CH01,,11650724L0,2/1/2024,4/13/2023,,
100413,MELIO FOAM AX-03,1000952017,50,CH01,,11650724L0,2/1/2024,4/25/2023,,
100413,MELIO FOAM AX-03,1000952018,50,CH01,,11650724L0,2/1/2024,4/25/2023,,
