MATERIAL DESCRIPTION,COMPONENT DESCRIPTION,COLORCODE,FAMILY_ARTICLES,ART_TYPE,G_SF,Setup
CAC-W AGATA 13/15 TR1 (5235),FR PIN TBH PB X ARTICLE,5235,AGATA,TOP,,
CAC-W AGATA 13/15 TR1 (8004),FR PIN TBH PB X ARTICLE,8004,AGATA,TOP,,
CAC-W AGATA 13/15 TR1 (9745),FR PIN TBH PB X ARTICLE,9745,AGATA,TOP,,
CAC-W AJAX 12/14 TR (8170),FR PIN TBH COB PB AJAX 8170,8170,AJAX,TOP,,
CAC-W AJAX 12/14 TR1 (12107) PC,FR PIN TBH COB PB AJAX 12107,12107,AJAX,TOP,,
CAC-W AJAX TT 12/14 TR (13416) PC,FR PIN TBH COB PB AJAX TT 13416,13416,AJAX,TOP,,
CAC-W AJAX TT 12/14 TR (17052),FR PIN TBH COB PB AJAX TT 17052,17052,AJAX,TOP,,
CAC-W AJAX TT 12/14 TR (7183) PC,FR PIN TBH COB PB AJAX TT 7183,7183,AJAX,TOP,,
CAC-W AJAX TT 12/14 TR (7187) PC,FR PIN TBH COB PB AJAX TT 7187,7187,AJAX,TOP,,
CAC-W AJAX TT 12/14 TR1 (13491) PC,FR PIN TBH COB PB AJAX TT 13491,13491,AJAX,TOP,,
CAC-W AJAX TT 12/14 TR1 (13492) PC,FR PIN TBH COB PB AJAX TT 13492,13492,AJAX,TOP,,
CAC-W AJAX TT 12/14 TR1 (13493) PC,FR PIN TBH COB PB AJAX TT 13493,13493,AJAX,TOP,,
CAC-W AJAX TT 12/14 TR1 (17176) PC,FR PIN TBH COB PB AJAX TT 17176,17176,AJAX,TOP,,
CAC-W AJAX TT 12/14 TR1 (17177) PC,FR PIN TBH COB PB AJAX TT 17177,17177,AJAX,TOP,,
CAC-W ALABAMA 14/16 TR1 (8856) PC,FR PIN TBH EMU DK COL,8856,ALABAMA,TOP,,
CAC-W ALABAMA 14/16 TR1 (9889) PC,FR PIN TBH EMU DK COL,9889,ALABAMA,TOP,,
CAC-W ALBA 09/11 TR1 (4261),FR PIN TBH COB BC ALBA 4261,4261,ALBA,TOP,,
CAC-W ALBA 09/11 TR1 (5023) PC,FR PIN TBH COB BC ALBA 5023,5023,ALBA,TOP,,
CAC-W ALBA 09/11 TR1 (7249),FR PIN TBH COB BC ALBA 7249,7249,ALBA,TOP,,
CAC-W ALBA 09/11 TR1 (7804) PC,FR PIN TBH EMU TOPCELL,7804,ALBA,TOP,,
CAC-W ALBA 09/11 TR1 (8328),FR PIN TBH COB BC ALBA 8328,8328,ALBA,TOP,,
CAC-W ALBA 09/11 TR1 (8663),FR PIN TBH COB BC ALBA 8663,8663,ALBA,TOP,,
CAC-W ALBA 09/11 TR1 (8796),FR PIN TBH COB BC ALBA 8796,8796,ALBA,TOP,,
CAC-W ALBA 09/11 TR1 (8896) PC,FR PIN TBH COB BC ALBA 8896,8896,ALBA,TOP,,
CAC-W ALBA 09/11 TR1 (9854),FR PIN TBH COB BC ALBA 9854,9854,ALBA,TOP,,
CAC-W ALBA 09/11 TR2 (7228),FR PIN TBH COB BC ALBA 7228,7228,ALBA,TOP,,
CAC-W ALBA 09/11 TR2 (8361),FR PIN TBH COB BC ALBA 8361,8361,ALBA,TOP,,
CAC-W ALINE K TT 09/11 (13306) PC,FR PIN TBH PB X ARTICLE,13306,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR (13449) PC,FR PIN TBH PB X ARTICLE,13449,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR (17036) PC,FR PIN TBH FS F212,17036,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR (17086) PC,FR PIN TBH PB X ARTICLE,17086,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (12012),FR PIN TBH PB X ARTICLE,12012,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (12016) PC,FR PIN TBH PB X ARTICLE,12016,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (12038) PC,FR PIN TBH PB X ARTICLE,12038,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (12040) PC,FR PIN TBH FS F212,12040,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (1220) PC,FR PIN TBH FS F212,1220,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (1221) PC,FR PIN TBH PB X ARTICLE,1221,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1233) PC,FR PIN TBH PB X ARTICLE,1233,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1264) PC,FR PIN TBH FS F212,1264,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (1265) PC,FR PIN TBH PB X ARTICLE,1265,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1266) PC,FR PIN TBH PB X ARTICLE,1266,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13035) PC,FR PIN TBH PB X ARTICLE,13035,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13036) PC,FR PIN TBH PB X ARTICLE,13036,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13038) PC,FR PIN TBH PB X ARTICLE,13038,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13085) PC,FR PIN TBH PB X ARTICLE,13085,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13108) PC,FR PIN TBH PB X ARTICLE,13108,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1311) PC,FR PIN TBH PB X ARTICLE,1311,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13144) PC,FR PIN TBH FS F212,13144,ALINE,TOP,,
