Material,Component_Description,Consumption,Mon_Year
100029,HM183,0.5,Apr_20
100041,PRIMAL SB100,557.077,Apr_20
100094,ACRYSOL RM-825,2.2,Apr_20
100322,ICALAC SB 200,1048.633,Apr_20
100413,MELIO FOAM AX-03,22.7,Apr_20
101261,EUDERM NAPPA SOFT S 2,229.2,Apr_20
104221,PRIMAL SB-150,563.692,Apr_20
104523,ORANGE DHL,6.049,Apr_20
104531,BLUE DHL,0.018,Apr_20
104541,CICLOESANONE *,702.3,Apr_20
104555,FI-70-306,473.75,Apr_20
104557,CONTEX GIALLO PK,160.645,Apr_20
104564,HM-283,0.65,Apr_20
104572,ICALAC SB 215,141,Apr_20
104624,RODA CRYL 137,120.214,Apr_20
104625,RODA FEEL S 930,112.655,Apr_20
104642,TOLUENE,195.31,Apr_20
104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),38.5,Apr_20
104645,TOUCHMILL C/W8 (EX MILLITER C/W8),78.5,Apr_20
104667,BINDER M-SM 118,276.8,Apr_20
104672,MP1,2800.414,Apr_20
104673,SE W 11 CONC,11.86,Apr_20
104676,MELIO PROMUL AP-39 A,1497.328,Apr_20
104680,MEK-CLEANING SOLVENT,268.05,Apr_20
104690,DC65,15.695,Apr_20
104696,LAMSOFT W 81,21.24,Apr_20
104708,NOVA M 16/NF,2.5,Apr_20
104727,DILUENT NITRO GL,16899.24,Apr_20
104728,PRIMEX UD 32,26.1,Apr_20
104743,ISOLAC BIANCO,12.899,Apr_20
104744,ISOLAC ORANGE,1.76,Apr_20
104745,ISOLAC GIALLO ORO,90.62,Apr_20
104746,ISOLAC LEMON LP,34.942,Apr_20
104747,ISOLAC OCRA,15.468,Apr_20
104748,ISOLAC BRUNO,12.712,Apr_20
104749,ISOLAC BRUNO ROSSO,58.498,Apr_20
104750,ISOLAC ROSSO,12.946,Apr_20
104752,ISOLAC VIOLETTO,78.151,Apr_20
104753,ISOLAC TURCHESE,21.229,Apr_20
104754,ISOLAC NERO,142.892,Apr_20
104756,BRITEX BLACK,57.339,Apr_20
104757,BRITEX BROWN,18.426,Apr_20
104767,CONTEX ZITRON,57.131,Apr_20
104768,CONTEX BRUNO R,219.72,Apr_20
104769,CONTEX AMARANTO,19.534,Apr_20
104770,CONTEX BLUE MARINE,27.793,Apr_20
104771,CONTEX VERDE,32.686,Apr_20
104773,TO-VI-97,426.183,Apr_20
104794,RODA LAC ON 3050-N,5.5,Apr_20
104795,PM-4800,33.3,Apr_20
104797,CONTEX BIANCO ULTRA DOS,1839.979,Apr_20
104798,CONTEX BRUNO V,159.468,Apr_20
104799,CONTEX NERO M,670.917,Apr_20
104800,CONTEX OCRA,913.504,Apr_20
104801,CONTEX ROSSO CO,145.224,Apr_20
104802,CONTEX BRUNO,293.014,Apr_20
104803,CONTEX GIALLO ECP,505.07,Apr_20
104804,CONTEX ARANCIO ECP,93.355,Apr_20
104805,CONTEX FUCHSIA,43.644,Apr_20
104806,CONTEX LEMON C,124.038,Apr_20
104807,CONTEX BLU T,65.209,Apr_20
104808,CONTEX TURCHESE T,90.96,Apr_20
104809,CONTEX VIOLETTO R,361.787,Apr_20
104810,CONTEX ROSSO HTR-CO,0.7,Apr_20
104819,CORAM T YELLOW,44.4,Apr_20
104824,NOVOLAC 750,4263.975,Apr_20
104840,SMIT FIX 9451,31,Apr_20
104846,RODA FEEL N 4,286.462,Apr_20
104847,RODA FEEL S 2081,42.829,Apr_20
104854,RODA PUR K 312,27,Apr_20
104858,ISO PROPYLIC ALCOHOL,2,Apr_20
104867,BASEMASK 5000,1363.8,Apr_20
104873,EX-WT-42-511,131.819,Apr_20
104877,CRX S 75 / NT,401.484,Apr_20
104891,LS-64-256,1852.2,Apr_20
104902,SAMIACEL MACCHIA 3338,281.6,Apr_20
104914,SAMIACEL LACCA 793,39.2,Apr_20
104915,SAMIACEL OPACO 813,1756.02,Apr_20
104923,TOP RT 10,39.492,Apr_20
104926,TOP 100 M,134.113,Apr_20
104928,RODA BASE 5615,364.8,Apr_20
104929,RODA BASE RECO 8,3382.3,Apr_20
104931,BINDER M-PR 400,12646.945,Apr_20
104932,BINDER W 212,3535.329,Apr_20
104937,MELIO AQUABASE W-MN,417.8,Apr_20
104938,COMPACT HP3,4373.275,Apr_20
104939,AQUAFIX LUCIDO 555,2906.384,Apr_20
104959,EX-LS-64-468,51.1,Apr_20
104960,RODA LINK 5504/N,627.777,Apr_20
104961,RODA PUR 65,2227.408,Apr_20
104962,RODA LEVELLER B-LM,131.592,Apr_20
104963,RODA CARE NL,1646.573,Apr_20
104964,RODA FIX 6271,3078.481,Apr_20
104965,RODA LINK C/70,339.276,Apr_20
104973,TFIX M 9562,332.1,Apr_20
104988,RM 2510,443.92,Apr_20
104989,RM 1080,170.35,Apr_20
105008,BINDER M-RI 99,1937.374,Apr_20
105020,BASEMASK 5755/T2,2200,Apr_20
105026,RODA FIX 6271/C,986.079,Apr_20
105027,RODA TEC AW,965.643,Apr_20
105042,SAMIANIL CB ROSSO RP,0.551,Apr_20
105043,SAMIANIL CB BRUNO RP,0.636,Apr_20
105045,SAMIANIL CB NERO RP,10.41,Apr_20
105084,GEALUX QT,24.642,Apr_20
105086,EX WT 43 051,168.555,Apr_20
105126,ANTIFOAM NS-165,278.198,Apr_20
105161,PM1–CLEANING,4180,Apr_20
105167,AQUABASE HP,5767,Apr_20
105173,SMITFIX G 9631,154.058,Apr_20
105175,SMITFIX G 9633,574.572,Apr_20
105203,RODA FIX 6306,6.321,Apr_20
105205,HM-22-132,78.6,Apr_20
105223,EXP AQ SYSTEM EF 91/8,3052.5,Apr_20
105256,XR-5525,22.335,Apr_20
105263,RODA FEEL 768/ N,5.625,Apr_20
105283,BUTYL CARBITOL (BC),284.925,Apr_20
105310,RODA LAC S 214/N,2021.624,Apr_20
105336,EX-SU-76-235,1402.6,Apr_20
105370,RODA FIX 5792/N,22.472,Apr_20
105393,RODA FEEL KTA 950,40.036,Apr_20
105402,ICALAC SB1 MATT,22.75,Apr_20
105411,XR-2514,42.742,Apr_20
100041,PRIMAL SB100,4560.053,Apr_21
100322,ICALAC SB 200,2707.519,Apr_21
100413,MELIO FOAM AX-03,200.971,Apr_21
101261,EUDERM NAPPA SOFT S 2,1971.2,Apr_21
104221,PRIMAL SB-150,2845.485,Apr_21
104523,ORANGE DHL,5.95,Apr_21
104528,BI-372,33.75,Apr_21
104541,CICLOESANONE *,2114.445,Apr_21
104555,FI-70-306,633,Apr_21
104557,CONTEX GIALLO PK,286.913,Apr_21
104564,HM-283,4.661,Apr_21
104572,ICALAC SB 215,1274,Apr_21
104624,RODA CRYL 137,494.169,Apr_21
104625,RODA FEEL S 930,401.3,Apr_21
104642,TOLUENE,7.935,Apr_21
104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),92.382,Apr_21
104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),216.595,Apr_21
104645,TOUCHMILL C/W8 (EX MILLITER C/W8),136.605,Apr_21
104667,BINDER M-SM 118,4529.5,Apr_21
104672,MP1,14717.744,Apr_21
104673,SE W 11 CONC,173.5,Apr_21
104676,MELIO PROMUL AP-39 A,4170.851,Apr_21
104680,MEK-CLEANING SOLVENT,1531.4,Apr_21
104690,DC65,53.191,Apr_21
104691,TOUCHMILL C/WS,456.6,Apr_21
104703,SMITFIX G 9058,5.59,Apr_21
104727,DILUENT NITRO GL,45193.418,Apr_21
104728,PRIMEX UD 32,411.5,Apr_21
104729,TRUMP FINISH 6311,160.889,Apr_21
104743,ISOLAC BIANCO,8.134,Apr_21
104744,ISOLAC ORANGE,3.808,Apr_21
104745,ISOLAC GIALLO ORO,185.097,Apr_21
104746,ISOLAC LEMON LP,24.12,Apr_21
104747,ISOLAC OCRA,50.189,Apr_21
104748,ISOLAC BRUNO,20.717,Apr_21
104749,ISOLAC BRUNO ROSSO,134.521,Apr_21
104750,ISOLAC ROSSO,27.863,Apr_21
104752,ISOLAC VIOLETTO,257.749,Apr_21
104753,ISOLAC TURCHESE,37.893,Apr_21
104754,ISOLAC NERO,497.338,Apr_21
104756,BRITEX BLACK,125.124,Apr_21
104757,BRITEX BROWN,15.963,Apr_21
104767,CONTEX ZITRON,186.408,Apr_21
104768,CONTEX BRUNO R,274.382,Apr_21
104769,CONTEX AMARANTO,23.812,Apr_21
104770,CONTEX BLUE MARINE,70.179,Apr_21
104771,CONTEX VERDE,62.834,Apr_21
104773,TO-VI-97,1412.929,Apr_21
104797,CONTEX BIANCO ULTRA DOS,5165.935,Apr_21
104798,CONTEX BRUNO V,1125.822,Apr_21
104799,CONTEX NERO M,2521.211,Apr_21
104800,CONTEX OCRA,2125.524,Apr_21
104801,CONTEX ROSSO CO,195.119,Apr_21
104802,CONTEX BRUNO,510.645,Apr_21
104803,CONTEX GIALLO ECP,9.582,Apr_21
104804,CONTEX ARANCIO ECP,68.826,Apr_21
104805,CONTEX FUCHSIA,111.322,Apr_21
104806,CONTEX LEMON C,4.678,Apr_21
104807,CONTEX BLU T,247.578,Apr_21
104808,CONTEX TURCHESE T,174.831,Apr_21
104809,CONTEX VIOLETTO R,436.153,Apr_21
104810,CONTEX ROSSO HTR-CO,30.7,Apr_21
104824,NOVOLAC 750,18391.574,Apr_21
104846,RODA FEEL N 4,800.396,Apr_21
104847,RODA FEEL S 2081,172.82,Apr_21
104854,RODA PUR K 312,139.022,Apr_21
104858,ISO PROPYLIC ALCOHOL,134.179,Apr_21
104867,BASEMASK 5000,2384.6,Apr_21
104873,EX-WT-42-511,130,Apr_21
104877,CRX S 75 / NT,1356.302,Apr_21
104891,LS-64-256,3946.53,Apr_21
104902,SAMIACEL MACCHIA 3338,133.49,Apr_21
104914,SAMIACEL LACCA 793,1214,Apr_21
104923,TOP RT 10,215.091,Apr_21
104926,TOP 100 M,292.198,Apr_21
104928,RODA BASE 5615,2288.9,Apr_21
104929,RODA BASE RECO 8,14958.3,Apr_21
104931,BINDER M-PR 400,49419.1,Apr_21
104932,BINDER W 212,17630.988,Apr_21
104937,MELIO AQUABASE W-MN,490,Apr_21
104938,COMPACT HP3,11993,Apr_21
104939,AQUAFIX LUCIDO 555,4434.224,Apr_21
104944,RODA OIL KCF 673,30,Apr_21
104946,RODA WAX KCF 684,4,Apr_21
104949,RODA BASE RECO 3,25.07,Apr_21
104959,EX-LS-64-468,211.5,Apr_21
104960,RODA LINK 5504/N,2272.548,Apr_21
104961,RODA PUR 65,2653.951,Apr_21
104962,RODA LEVELLER B-LM,402.301,Apr_21
104963,RODA CARE NL,5407.3,Apr_21
104964,RODA FIX 6271,6870.094,Apr_21
104965,RODA LINK C/70,850.436,Apr_21
104973,TFIX M 9562,3548.035,Apr_21
104978,DARKWAX 6G,35,Apr_21
104988,RM 2510,2479.6,Apr_21
104989,RM 1080,751.46,Apr_21
105008,BINDER M-RI 99,5486.565,Apr_21
105018,SAMIANIL CB ROSSO VIVO RP,2.241,Apr_21
105020,BASEMASK 5755/T2,1004,Apr_21
105025,RODA BASE AF-B,160.359,Apr_21
105026,RODA FIX 6271/C,1868.832,Apr_21
105027,RODA TEC AW,1495.035,Apr_21
105042,SAMIANIL CB ROSSO RP,1.536,Apr_21
105043,SAMIANIL CB BRUNO RP,19.96,Apr_21
105045,SAMIANIL CB NERO RP,11.9,Apr_21
105063,FI 18988,48.4,Apr_21
105084,GEALUX QT,149.7,Apr_21
105086,EX WT 43 051,2269.42,Apr_21
105126,ANTIFOAM NS-165,136.645,Apr_21
105167,AQUABASE HP,16910,Apr_21
105173,SMITFIX G 9631,4262.843,Apr_21
105175,SMITFIX G 9633,1997.923,Apr_21
105203,RODA FIX 6306,328.2,Apr_21
105205,HM-22-132,212.39,Apr_21
105223,EXP AQ SYSTEM EF 91/8,4309.2,Apr_21
105255,MA-22-617,28.73,Apr_21
105256,XR-5525,35.636,Apr_21
