family_Articles,Jul
Ajax,80000
Aline,441000
Alpine,158000
Ankur,10000
Artic,0
Bali,60000
Bavaria,24000
Benfica,15000
Bowie,102500
Brisbane,45000
California,100000
Cape-town,4500
Capital,35000
Classic,5000
Deco,5000
Ellington,156000
Express,10000
Faro,15000
Florida,5000
Gobiew,0
Hawaii,35000
Madras,239000
Maldonado,209000
Meister,70000
Mekong,273000
Meridian,35000
Mossel,10000
Natural,50000
New-Prestige,44550
Nokor,125000
Palio,2000
Patrol,19500
Puccini,165000
Ravenna,5000
Retro,4500
Sahara,124000
Siena,78000
Solana,96000
Sunny,5000
Toronto,208500
Utti,0
Valderno,50000
Valour,25000
Vancouver,189550
Vegas,100000
Veneza,64000
Vidal,12000
Vintage,263500
