family_Articles,Jul,Aug,Sep,Oct
Ajax,70000,70000,74000,80000
Aline,332000,310000,438000,441000
Alpine,135000,154000,163000,158000
Ankur,6000,0,0,10000
Artic,4000,0,10000,0
Bali,40000,43000,51000,60000
Bavaria,0,24000,24000,24000
Benfica,,30000,0,15000
Bowie,39500,39500,39500,102500
Brisbane,45000,45000,45000,45000
California,0,0,100000,100000
Cape-town,4000,4000,4000,4500
Capital,137000,115000,30000,35000
Classic,4000,5000,5000,5000
Deco,5000,5000,5000,5000
Ellington,155000,155000,156000,156000
Express,10000,10000,10000,10000
Faro,15000,15000,15000,15000
Florida,4000,4000,5000,5000
Gobiew,5000,5000,0,0
Hawaii,35000,35000,35000,35000
Madras,89000,324000,239000,239000
Maldonado,127000,213000,247000,209000
Meister,25000,25000,70000,70000
Mekong,222500,246500,273000,273000
Meridian,35000,35000,35000,35000
Mossel,10000,10000,10000,10000
Natural,50000,50000,50000,50000
New-Prestige,44000,44000,44000,44550
Nokor,125000,125000,125000,125000
Palio,2000,1500,2000,2000
Patrol,14000,18000,19500,19500
Puccini,40000,40000,65000,165000
Ravenna,4000,4000,5000,5000
Retro,4000,104500,4500,4500
Sahara,80500,80500,84000,124000
Siena,30000,35000,42000,78000
Solana,61000,69000,96000,96000
Sunny,4000,5000,5000,5000
Toronto,116000,93000,208000,208500
Utti,15000,0,15000,0
Valderno,0,0,50000,50000
Valour,15000,15000,25000,25000
Vancouver,143000,94000,189000,189550
Vegas,20000,100000,100000,100000
Veneza,57000,64000,64000,64000
Vidal,5000,5000,5000,12000
Vintage,211000,221000,254500,263500
